,Correlation
Sports,0.2582707601449338
News & Politics,-0.5557036052706003
Music,-0.10964413770370408
Entertainment,0.05871524370774497
Gaming,-0.25883580984140925
People & Blogs,0.10049899608367234
Film & Animation,0.19744672315099016
Howto & Style,-0.061803817836151416
Comedy,-0.40839533383383875
Pets & Animals,-0.13149252471021527
Education,-0.7083844057236817
Science & Technology,0.9621403508317861
Travel & Events,-0.24478751278207475
Autos & Vehicles,0.8159348357075121
Nonprofits & Activism,0.9999999999999998
