,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Denmark,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,50.0,Denmark,80.2,,78.3,79.7,76.8,77.7,77.9,75.2,75.9,75.1,75.1,75.6,75.9,76.5,76.9,75.2,77.0,75.9
2,Switzerland,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,50.0,Switzerland,,74.7,,,75.3,,,77.8,,74.9,75.7,74.6,74.7,75.1,76.9,75.1,73.3,72.4
3,Greece,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,50.0,Greece,60.1,,66.5,,60.4,58.4,53.7,51.0,47.2,47.6,56.2,53.0,51.5,54.1,59.5,57.9,61.0,59.3
4,Belgium,Hij kan niet zwemmen 🏊‍♂️ Heb jij al gezwommen dit jaar? 🤔🏊,Comedy,50.0,Belgium,72.6,,72.2,71.2,,68.5,71.1,69.3,71.0,68.5,69.0,69.5,69.3,68.9,67.7,68.4,68.8,68.6
5,Ireland,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,50.0,Ireland,,71.4,,75.7,70.5,72.6,70.1,69.7,67.6,70.2,68.3,70.4,70.6,69.6,72.5,70.3,68.3,69.1
6,India,"5 Minutes Pregnancy 🤰🏻 | Ft. Nandha Gopala Krishnan, Pooja | Deepak Rhaj S | Comedy | 4K | Finally",Comedy,50.0,India,,53.5,50.3,51.5,45.2,49.9,46.4,47.2,44.3,44.2,43.4,41.8,40.5,38.2,32.5,42.2,35.6,40.4
7,India,Shaadi ki Saalgirah | the mridul | Pragati | Nitin,Comedy,100.0,India,,53.5,50.3,51.5,45.2,49.9,46.4,47.2,44.3,44.2,43.4,41.8,40.5,38.2,32.5,42.2,35.6,40.4
8,Jamaica,Tiny Style 2 - #shorts,Comedy,100.0,Jamaica,,62.1,,,,,53.7,,57.1,53.1,,,58.9,,63.1,54.3,58.1,57.0
9,Kenya,AFRICAN HOME: FAMILY SWITCH (PART 2),Comedy,100.0,Kenya,,42.2,45.8,40.1,42.7,42.6,44.0,45.5,38.0,49.0,43.6,44.0,44.8,46.6,46.2,45.5,44.6,44.9
10,Kenya,AFRICAN HOME: FAMILY SWITCH (PART 1),Comedy,100.0,Kenya,,42.2,45.8,40.1,42.7,42.6,44.0,45.5,38.0,49.0,43.6,44.0,44.8,46.6,46.2,45.5,44.6,44.9
11,Nigeria,SCHOOL TRIP | Episode 1 | SACRED BLOOD MASK | High School Drama Series | Nollywood Movies 2024,Comedy,100.0,Nigeria,,47.1,48.9,49.4,49.8,47.6,,54.9,48.2,,49.3,52.2,53.2,52.5,42.7,55.0,44.8,49.8
12,Nigeria,SAAMU ALAJO IN IPM; OFFERINGS BOX TRANSFORMED | ODUNLADE ADEKOLA x WOLI AGBA,Comedy,50.0,Nigeria,,47.1,48.9,49.4,49.8,47.6,,54.9,48.2,,49.3,52.2,53.2,52.5,42.7,55.0,44.8,49.8
13,New Zealand,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,50.0,New Zealand,,73.0,76.0,73.8,,72.2,71.9,72.5,72.8,73.1,74.2,72.3,73.3,73.7,72.0,72.6,71.4,71.2
14,Singapore,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,50.0,Singapore,,64.6,68.3,66.4,61.5,65.3,65.6,,65.3,70.6,66.2,60.3,63.8,63.8,63.8,,65.9,65.9
15,South Africa,Tiny Style 2 - #shorts,Comedy,100.0,South Africa,,50.8,52.0,53.5,52.2,46.5,49.3,51.3,36.6,48.3,48.9,47.7,45.1,48.8,50.4,49.5,56.0,52.8
16,Spain,¿¡MI MAMÁ ES UN DOPPELGÄNGER!? 😱 | Fabru Blacutt,Comedy,50.0,Spain,71.5,,70.0,72.9,62.0,61.9,65.2,62.9,61.5,64.6,63.8,63.2,62.3,65.1,64.6,65.0,64.7,64.4
17,El Salvador,NO PUEDE SER 🤦‍♀️,Comedy,50.0,El Salvador,,57.0,53.0,51.9,68.4,67.4,47.4,59.3,63.3,58.6,60.2,61.4,63.4,62.4,64.5,54.6,64.3,61.2
18,El Salvador,¿¡MI MAMÁ ES UN DOPPELGÄNGER!? 😱 | Fabru Blacutt,Comedy,50.0,El Salvador,,57.0,53.0,51.9,68.4,67.4,47.4,59.3,63.3,58.6,60.2,61.4,63.4,62.4,64.5,54.6,64.3,61.2
19,Finland,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,50.0,Finland,,76.7,,76.7,,73.9,73.5,74.2,74.5,73.8,74.5,76.6,77.9,78.6,77.8,78.9,77.9,78.0
20,Philippines,BANANA,Comedy,50.0,Philippines,,46.7,50.7,45.9,48.8,49.4,49.9,50.0,49.8,53.1,55.5,54.3,55.9,58.7,62.7,50.8,59.6,55.2
21,Kazakhstan,ЗРЯ Я 24 ЧАСА СТОЯЛ НА ГВОЗДЯХ! #нонале,Comedy,50.0,Kazakhstan,,54.8,57.2,58.9,53.8,55.1,57.4,57.6,58.4,59.7,59.5,55.3,58.8,60.1,62.7,61.7,62.6,61.4
22,Luxembourg,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,50.0,Luxembourg,,,,,69.6,71.0,71.0,69.6,71.3,68.9,67.0,69.7,70.6,72.4,74.0,,,72.3
23,Norway,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,50.0,Norway,,74.2,,76.3,,,,76.8,,74.4,76.0,76.0,75.8,74.4,74.4,72.9,73.6,73.2
24,Netherlands,Hij kan niet zwemmen 🏊‍♂️ Heb jij al gezwommen dit jaar? 🤔🏊,Comedy,50.0,Netherlands,74.6,,74.5,76.3,,75.0,75.6,74.7,74.1,73.2,73.2,75.4,74.6,74.6,74.3,75.0,73.1,74.0
25,Netherlands,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,50.0,Netherlands,74.6,,74.5,76.3,,75.0,75.6,74.7,74.1,73.2,73.2,75.4,74.6,74.6,74.3,75.0,73.1,74.0
26,Brazil,"Entrevista com Vincent Martella, o ""Greg"", de ""Todo Mundo Odeia o Chris"" | The Noite (16/04/24)",Comedy,50.0,Brazil,66.4,,63.2,66.9,70.0,68.4,70.4,66.6,71.4,69.8,65.5,63.8,63.3,61.9,64.5,61.1,60.1,61.3
27,Brazil,CAMPEÃO! 👑 Davi fala da sensação de VENCER O BBB 24! 💥 | A Invasão | Multishow,Comedy,50.0,Brazil,66.4,,63.2,66.9,70.0,68.4,70.4,66.6,71.4,69.8,65.5,63.8,63.3,61.9,64.5,61.1,60.1,61.3
28,Russia,Каха и фастфуд  #непосредственнокаха,Comedy,50.0,Russia,,49.6,52.2,56.2,51.6,53.9,53.9,56.2,55.4,60.4,60.0,58.5,55.8,55.1,54.4,55.0,54.5,56.6
29,Russia,МУЖСКОЕ И ЖЕНСКОЕ. ПАРОДИЯ.  #иванабрамов #звезды #shorts,Comedy,50.0,Russia,,49.6,52.2,56.2,51.6,53.9,53.9,56.2,55.4,60.4,60.0,58.5,55.8,55.1,54.4,55.0,54.5,56.6
