,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Denmark,"I call this the 'No, You Don't' Law",Education,50.0,Denmark,80.2,,78.3,79.7,76.8,77.7,77.9,75.2,75.9,75.1,75.1,75.6,75.9,76.5,76.9,75.2,77.0,75.9
1,Austria,Durchbruch: Neuer Benzin-Motor 2024 schlägt jede Konkurrenz?,Education,50.0,Austria,,71.2,,71.8,,73.0,74.7,74.0,75.0,69.5,70.8,70.5,72.9,74.0,72.0,72.1,70.8,71.0
2,Austria,There Are Thousands of Alien Empires in The Milky Way,Education,0.0,Austria,,71.2,,71.8,,73.0,74.7,74.0,75.0,69.5,70.8,70.5,72.9,74.0,72.0,72.1,70.8,71.0
3,Canada,What Happened To The Nautilus?,Education,50.0,Canada,74.2,,74.8,74.9,74.9,76.5,74.3,74.2,75.9,73.0,74.1,72.5,74.2,71.8,71.1,70.3,69.4,69.6
4,India,Hype vs Reality - Can BJP & Allies Cross 400 Seats in Election 2024? | Akash Banerjee & Adwaith,Education,100.0,India,,53.5,50.3,51.5,45.2,49.9,46.4,47.2,44.3,44.2,43.4,41.8,40.5,38.2,32.5,42.2,35.6,40.4
5,Hungary,Voltak WC-k egy Középkori Várban?,Education,50.0,Hungary,51.9,,49.5,,49.0,47.3,49.2,46.8,49.1,51.8,53.4,54.5,60.6,59.4,60.0,60.4,62.3,60.4
6,Kazakhstan,Osman Kalyoncu Sonu Üzücü Saddest Videos Dream Engine 55 #shorts,Education,50.0,Kazakhstan,,54.8,57.2,58.9,53.8,55.1,57.4,57.6,58.4,59.7,59.5,55.3,58.8,60.1,62.7,61.7,62.6,61.4
7,Lithuania,Osman Kalyoncu Sonu Üzücü Saddest Videos Dream Engine 55 #shorts,Education,50.0,Lithuania,,59.5,58.1,55.5,54.7,50.7,54.3,57.7,56.0,61.3,57.1,58.7,62.7,63.1,60.6,63.9,68.7,67.6
8,Latvia,Osman Kalyoncu Sonu Üzücü Saddest Videos Dream Engine 55 #shorts,Education,50.0,Latvia,,47.1,46.7,51.5,46.7,,49.7,51.3,50.7,57.3,58.8,59.4,59.8,59.0,59.7,62.3,63.5,62.1
9,Norway,"I call this the 'No, You Don't' Law",Education,50.0,Norway,,74.2,,76.3,,,,76.8,,74.4,76.0,76.0,75.8,74.4,74.4,72.9,73.6,73.2
10,Taiwan,水都威尼斯vs時尚之都米蘭! 義大利選住宿一定要注意「這一件事」!,Education,50.0,Taiwan,,61.9,,55.5,,62.3,63.1,61.3,63.4,63.6,64.5,65.1,63.6,64.7,65.4,67.5,62.5,65.3
