,Country,Video Title,Category,Sentiment,country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,Denmark,"I call this the 'No, You Don't' Law",Education,50.0,Denmark,37.4,38.5,44.4,44.8,42.8,43.0,43.8,42.6,39.4,39.2,41.7,39.3,36.0,40.9,38.8,42.7,44.1,46.5,46.4,45.3,43.1,39.0,43.4,46.4,44.6,43.1,40.3,41.1,36.6,31.0,34.1,29.3,32.5,36.2,36.5,38.4,39.9,41.5,43.1,41.9,41.1,42.6,42.5,43.9,44.0,43.4,40.4,40.5,40.7,39.5,43.5,44.6,43.1,38.6,44.8,46.2,46.8,42.5,40.0,44.4,45.1,47.7,47.6,47.6,40.2,39.9,43.0,45.0,45.7,46.2,46.1,46.2,47.6,47.6,46.1,44.6,45.9,47.5,47.6,46.3,44.9,48.4,46.8,48.6,48.7,49.8,49.1,48.8,46.8,47.9,47.4,46.9,47.6,47.2,49.5,51.0,53.1,52.0,53.3,50.8,52.1,52.8,54.9,54.9,55.9,54.5,56.7,56.3,55.1,57.6,58.2,57.1,58.2,59.1,58.7,58.6,57.1,57.5,56.4,57.2,57.7,62.0,60.8,61.4,61.4,62.1,61.9,61.4,62.1,62.2,62.5,62.1,63.0,63.9,64.4,63.1,63.7,64.2,65.2,66.1,66.5,66.3,67.4,67.7,66.7,66.4,67.5,68.8,70.4,70.5,70.7,71.0,71.1,71.4,71.7,72.1,72.2,72.2,72.4,72.5,72.5,72.6,72.6,72.6,72.7,72.7,72.8,73.1,73.3,73.5,73.6,73.6,73.7,73.9,74.1,74.2,74.2,74.7,74.7,74.5,74.4,74.5,74.7,74.7,74.8,74.8,74.9,75.0,75.1,75.1,75.2,75.4,75.5,75.5,75.5,75.6,75.9,76.3,76.7,76.7,77.2,77.3,77.4,77.7,78.0,78.3,78.5,78.7,79.0,79.2,79.5,79.9,80.3,80.5,80.8,81.0,81.0,81.1,81.1,81.1,81.2,81.1,81.6,81.7,81.9,82.0,82.2,82.3,82.5,82.6,82.8,82.9,83.0,83.2,83.3,83.5,83.6,83.7,83.9,84.0,84.1,84.3,84.4,84.5,84.6,84.8,84.9,85.0,85.1,85.2,85.4,85.5,85.6,85.7,85.8,86.0,86.1,86.2,86.3,86.4,86.5,86.7,86.8,86.9,87.0,87.1,87.3,87.3,87.5,87.6,87.7,87.8,87.9,88.0,88.2,88.3,88.4,88.5,88.6,88.7,88.8,89.0,89.1,89.2,89.3,89.4,89.5,89.7,89.8,89.9,90.0,90.1,90.2,90.3,90.5,90.6,90.7,90.8,90.9,91.0,91.1
1,Austria,Durchbruch: Neuer Benzin-Motor 2024 schlägt jede Konkurrenz?,Education,50.0,Austria,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.5,34.5,34.6,34.7,34.7,34.8,34.8,34.9,34.9,35.0,35.2,35.5,35.7,35.9,36.1,36.4,36.6,36.8,37.0,37.3,37.8,38.2,38.7,39.2,39.6,40.1,40.6,41.0,41.5,42.0,41.0,40.1,40.7,41.3,42.0,42.6,43.2,43.8,44.5,45.1,45.6,46.2,46.8,47.3,47.9,48.5,32.4,49.6,50.2,50.7,51.3,51.9,52.4,53.0,53.6,54.1,54.7,55.3,55.8,56.4,56.7,57.0,57.3,57.6,57.9,58.2,58.5,58.0,57.7,56.4,54.0,50.1,39.0,31.4,55.9,61.2,63.2,63.4,64.8,65.5,66.7,67.2,67.3,67.7,67.8,67.8,68.4,68.5,69.0,69.6,69.7,69.8,70.0,70.1,70.2,70.2,70.3,70.2,70.2,70.4,70.7,71.1,71.2,71.4,71.8,72.2,72.4,72.6,72.8,73.1,73.3,73.5,73.9,74.3,74.7,75.1,75.5,75.7,76.0,76.1,76.3,76.5,76.7,77.0,77.3,77.7,77.9,78.2,78.5,78.9,79.0,79.1,79.5,79.8,80.1,80.3,80.5,80.5,80.8,81.0,81.2,81.3,81.5,81.6,81.8,82.0,82.1,82.2,81.8,81.8,82.7,82.8,83.0,83.2,83.3,83.5,83.7,83.8,84.0,84.1,84.3,84.4,84.5,84.7,84.8,84.9,85.1,85.2,85.3,85.5,85.6,85.7,85.9,86.0,86.1,86.2,86.3,86.5,86.6,86.7,86.8,87.0,87.1,87.2,87.3,87.5,87.6,87.7,87.8,87.9,88.1,88.2,88.3,88.4,88.5,88.7,88.8,88.9,89.0,89.1,89.3,89.4,89.5,89.6,89.7,89.8,90.0,90.1,90.2,90.3,90.4,90.5,90.7,90.8,90.9,91.0,91.1,91.2,91.4,91.5,91.6,91.7,91.8,91.9,92.1,92.2,92.3,92.4,92.5
2,Austria,There Are Thousands of Alien Empires in The Milky Way,Education,0.0,Austria,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.5,34.5,34.6,34.7,34.7,34.8,34.8,34.9,34.9,35.0,35.2,35.5,35.7,35.9,36.1,36.4,36.6,36.8,37.0,37.3,37.8,38.2,38.7,39.2,39.6,40.1,40.6,41.0,41.5,42.0,41.0,40.1,40.7,41.3,42.0,42.6,43.2,43.8,44.5,45.1,45.6,46.2,46.8,47.3,47.9,48.5,32.4,49.6,50.2,50.7,51.3,51.9,52.4,53.0,53.6,54.1,54.7,55.3,55.8,56.4,56.7,57.0,57.3,57.6,57.9,58.2,58.5,58.0,57.7,56.4,54.0,50.1,39.0,31.4,55.9,61.2,63.2,63.4,64.8,65.5,66.7,67.2,67.3,67.7,67.8,67.8,68.4,68.5,69.0,69.6,69.7,69.8,70.0,70.1,70.2,70.2,70.3,70.2,70.2,70.4,70.7,71.1,71.2,71.4,71.8,72.2,72.4,72.6,72.8,73.1,73.3,73.5,73.9,74.3,74.7,75.1,75.5,75.7,76.0,76.1,76.3,76.5,76.7,77.0,77.3,77.7,77.9,78.2,78.5,78.9,79.0,79.1,79.5,79.8,80.1,80.3,80.5,80.5,80.8,81.0,81.2,81.3,81.5,81.6,81.8,82.0,82.1,82.2,81.8,81.8,82.7,82.8,83.0,83.2,83.3,83.5,83.7,83.8,84.0,84.1,84.3,84.4,84.5,84.7,84.8,84.9,85.1,85.2,85.3,85.5,85.6,85.7,85.9,86.0,86.1,86.2,86.3,86.5,86.6,86.7,86.8,87.0,87.1,87.2,87.3,87.5,87.6,87.7,87.8,87.9,88.1,88.2,88.3,88.4,88.5,88.7,88.8,88.9,89.0,89.1,89.3,89.4,89.5,89.6,89.7,89.8,90.0,90.1,90.2,90.3,90.4,90.5,90.7,90.8,90.9,91.0,91.1,91.2,91.4,91.5,91.6,91.7,91.8,91.9,92.1,92.2,92.3,92.4,92.5
3,Canada,What Happened To The Nautilus?,Education,50.0,Canada,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.2,39.3,39.4,39.5,39.7,39.8,39.9,40.1,40.2,40.3,40.4,40.5,40.5,40.6,40.7,40.8,40.8,40.9,41.0,41.1,41.1,41.2,41.2,41.3,41.3,41.4,41.4,41.5,41.5,41.6,41.7,41.8,41.9,42.0,42.1,42.2,42.3,42.4,42.5,42.6,42.8,43.0,43.3,43.5,43.7,43.9,44.1,44.4,44.6,44.8,44.8,44.9,44.9,45.0,45.0,45.1,45.1,45.1,45.2,45.2,45.6,45.9,46.3,46.6,47.0,47.3,47.7,48.0,48.4,48.7,49.1,49.5,49.9,50.3,50.7,51.1,51.5,51.9,52.2,52.6,53.1,53.5,54.0,54.4,54.9,55.4,47.3,56.3,56.7,57.2,57.2,57.2,59.0,59.5,58.1,58.8,58.7,58.1,59.1,60.5,61.6,62.5,63.0,62.7,62.9,61.5,63.5,63.9,64.2,64.0,64.9,64.8,65.6,66.5,66.8,67.0,67.5,67.9,68.5,68.8,69.0,69.5,70.1,70.3,70.3,70.4,70.7,70.9,71.2,71.3,71.4,71.5,71.8,71.9,72.0,72.2,72.4,72.6,72.8,73.0,73.0,73.2,73.4,73.6,74.0,74.3,74.6,74.9,75.2,75.5,75.8,76.1,76.3,76.4,76.6,76.8,77.0,77.2,77.4,77.6,77.8,77.8,78.0,78.1,78.4,78.6,78.8,79.1,79.4,79.6,79.8,80.0,80.2,80.4,80.7,80.9,81.1,81.4,81.6,81.9,82.0,82.1,82.2,82.3,82.3,82.4,82.2,82.2,81.9,82.5,82.7,82.8,83.0,83.2,83.3,83.5,83.6,83.8,83.9,84.0,84.2,84.3,84.4,84.6,84.7,84.8,85.0,85.1,85.2,85.3,85.5,85.6,85.7,85.9,86.0,86.1,86.2,86.3,86.5,86.6,86.7,86.8,87.0,87.1,87.2,87.3,87.4,87.5,87.7,87.8,87.9,88.0,88.1,88.3,88.4,88.5,88.6,88.7,88.8,89.0,89.1,89.2,89.3,89.4,89.5,89.6,89.8,89.9,90.0,90.1,90.2,90.3,90.5,90.6,90.7,90.8,90.9,91.0,91.1,91.3,91.4,91.5,91.6,91.7,91.8,92.0,92.1,92.2,92.3
4,India,Hype vs Reality - Can BJP & Allies Cross 400 Seats in Election 2024? | Akash Banerjee & Adwaith,Education,100.0,India,25.4,25.4,25.0,24.0,23.5,25.4,25.4,25.4,25.4,25.4,25.4,25.4,23.0,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,23.0,22.0,25.4,25.4,25.4,24.3,23.9,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.5,25.6,25.6,25.7,25.8,25.8,25.9,25.9,26.0,23.6,22.6,26.2,26.3,26.1,26.2,21.9,26.3,26.4,22.3,26.7,26.8,26.8,26.9,27.0,26.7,21.3,20.3,21.4,27.3,27.3,27.4,27.3,27.3,27.2,27.1,27.1,27.0,26.7,26.7,26.8,25.4,25.0,26.7,26.7,26.6,25.4,22.2,28.8,26.2,20.6,26.0,26.6,26.5,25.0,24.9,24.9,22.0,26.6,26.6,26.6,26.7,26.9,27.2,27.5,27.8,28.1,28.4,9.48,28.8,29.0,29.3,29.8,30.4,31.0,31.6,32.2,32.8,33.4,34.0,34.6,35.2,35.7,36.2,36.6,37.1,37.6,38.0,38.5,39.0,39.5,40.0,40.4,39.5,40.2,41.5,41.9,40.1,42.3,43.0,43.4,44.0,44.5,44.8,45.4,45.8,46.0,45.9,45.8,46.1,45.8,46.0,46.4,46.7,47.1,45.7,46.0,46.4,48.3,48.7,49.3,49.7,50.1,50.9,51.5,51.6,52.1,52.8,53.6,54.7,55.2,55.5,56.3,56.6,56.9,57.3,57.8,58.3,58.6,59.1,59.6,59.8,60.0,60.6,61.2,61.7,62.0,61.9,62.1,62.6,62.9,63.3,63.8,64.5,65.2,65.4,65.6,65.8,66.1,66.8,67.3,67.6,68.0,68.4,69.0,69.4,70.0,70.3,70.5,70.8,70.0,67.1,67.6,71.9,72.1,72.4,72.6,72.9,73.1,73.4,73.6,73.8,74.0,74.3,74.5,74.7,74.9,75.1,75.3,75.5,75.7,76.0,76.2,76.3,76.5,76.8,76.9,77.1,77.3,77.5,77.7,77.9,78.1,78.3,78.5,78.6,78.8,79.0,79.2,79.4,79.5,79.7,79.9,80.1,80.3,80.4,80.6,80.8,81.0,81.1,81.3,81.5,81.7,81.8,82.0,82.2,82.3,82.5,82.7,82.8,83.0,83.1,83.3,83.4,83.6,83.7,83.9,84.0,84.2,84.3,84.5,84.6,84.7,84.9,85.0,85.1,85.3,85.4,85.5,85.7,85.8
5,Hungary,Voltak WC-k egy Középkori Várban?,Education,50.0,Hungary,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.1,36.2,36.4,36.5,36.6,36.7,36.9,37.0,37.1,37.3,37.5,37.8,38.0,38.2,38.5,38.7,39.0,39.2,39.4,39.7,39.9,40.1,40.4,40.6,40.8,41.0,41.3,30.0,41.7,42.0,42.8,43.6,44.4,45.2,46.0,46.8,47.6,48.5,49.3,50.1,50.8,51.4,52.1,52.8,53.5,54.1,54.8,55.5,56.1,56.8,56.4,50.8,40.9,25.9,46.9,54.8,58.8,60.5,61.1,61.9,62.5,64.0,64.2,65.5,66.6,65.7,66.3,67.3,67.3,68.1,68.8,68.2,68.9,69.5,69.4,69.9,69.6,69.4,69.3,69.2,69.1,69.7,69.8,69.5,69.4,69.6,69.9,69.5,69.5,69.1,69.1,69.3,68.9,68.9,68.9,69.2,69.6,70.0,69.4,69.5,69.5,69.1,69.2,69.6,70.0,70.8,71.0,71.0,71.1,71.9,72.5,72.6,72.7,73.1,73.1,73.5,73.6,74.2,74.4,74.8,75.1,75.4,75.9,76.0,75.9,76.3,76.3,76.3,76.6,75.9,74.7,75.1,77.3,77.4,77.6,77.7,77.9,78.0,78.2,78.4,78.5,78.7,78.8,79.0,79.2,79.3,79.5,79.7,79.8,80.0,80.1,80.3,80.5,80.6,80.8,81.0,81.1,81.3,81.4,81.6,81.8,81.9,82.1,82.2,82.4,82.5,82.7,82.8,83.0,83.1,83.3,83.4,83.5,83.7,83.8,84.0,84.1,84.2,84.3,84.5,84.6,84.8,84.9,85.0,85.1,85.3,85.4,85.5,85.6,85.8,85.9,86.0,86.1,86.3,86.4,86.5,86.6,86.8,86.9,87.0,87.1,87.3,87.4,87.5,87.6,87.7,87.9,88.0,88.1,88.2
6,Kazakhstan,Osman Kalyoncu Sonu Üzücü Saddest Videos Dream Engine 55 #shorts,Education,50.0,Kazakhstan,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.4,26.4,26.4,25.9,25.4,24.9,24.3,23.8,23.9,23.9,24.0,24.1,24.1,24.3,24.5,24.8,25.0,25.2,25.4,25.6,25.8,26.1,26.3,26.5,26.7,26.9,27.1,27.4,27.6,27.8,28.0,28.2,28.4,28.7,28.9,29.1,29.3,29.2,29.0,28.9,29.1,29.4,29.7,30.0,30.2,30.5,30.8,31.1,31.3,31.6,34.7,35.1,32.9,32.5,32.1,32.1,29.0,18.7,24.4,19.7,23.1,24.1,33.4,36.0,35.0,38.4,37.7,39.3,38.0,37.4,16.7,8.36,4.18,39.9,41.6,43.3,42.3,44.1,46.6,44.1,28.4,25.3,24.2,32.7,41.1,51.7,43.4,51.9,54.9,57.4,57.6,58.0,58.4,58.9,59.3,59.8,60.2,60.7,61.0,61.4,61.8,62.2,62.5,62.9,63.4,63.7,64.0,64.4,64.5,64.8,65.1,65.2,65.4,65.5,65.7,65.8,66.1,65.9,66.5,66.9,67.0,67.5,67.4,67.3,67.7,68.9,68.8,68.6,68.3,68.1,67.6,66.7,65.7,64.8,64.0,63.9,64.1,64.5,64.8,64.7,64.7,64.7,64.6,64.6,64.6,64.8,65.3,66.3,67.3,67.6,68.1,68.6,69.4,70.1,70.6,71.1,71.5,71.7,71.9,70.4,69.7,69.8,70.7,72.5,72.7,72.8,72.9,73.0,73.1,73.3,73.4,73.5,73.6,73.7,73.9,74.0,74.1,74.3,74.4,74.5,74.6,74.8,74.9,75.0,75.2,75.3,75.4,75.6,75.7,75.8,76.0,76.1,76.2,76.4,76.5,76.7,76.8,76.9,77.1,77.2,77.4,77.5,77.7,77.8,78.0,78.1,78.2,78.4,78.5,78.7,78.8,79.0,79.1,79.3,79.4,79.6,79.7,79.9,80.0,80.2,80.3,80.5,80.7,80.8,81.0,81.1,81.2,81.4,81.5,81.7,81.8,82.0,82.1,82.3,82.4,82.5,82.7,82.8,82.9,83.1
7,Lithuania,Osman Kalyoncu Sonu Üzücü Saddest Videos Dream Engine 55 #shorts,Education,50.0,Lithuania,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,29.0,29.0,29.0,29.0,29.0,29.0,29.1,29.1,29.1,29.1,29.1,29.1,29.2,29.2,29.2,29.2,29.2,29.7,30.1,30.6,31.0,31.5,31.9,32.4,32.8,33.3,33.7,34.2,34.6,35.1,35.5,36.0,36.5,36.9,37.4,37.8,38.3,38.7,39.2,39.6,40.1,40.6,41.0,41.5,41.9,42.4,42.9,43.2,43.6,44.0,44.4,44.8,45.2,45.6,46.0,46.3,46.7,47.1,47.5,47.9,47.3,40.9,40.9,40.5,35.8,40.5,44.7,51.0,51.4,51.8,52.2,52.6,53.2,53.8,54.3,54.9,55.5,56.0,56.6,57.2,57.8,58.4,58.9,59.5,60.1,57.7,53.5,12.6,48.4,46.7,28.4,42.1,55.3,48.0,61.2,63.9,67.1,67.1,67.2,67.3,67.5,67.5,67.8,68.0,68.0,68.4,69.9,70.6,69.9,70.7,72.0,72.0,71.9,72.0,71.7,71.5,71.3,71.9,71.5,71.6,71.3,71.1,71.1,70.8,70.7,70.7,70.6,70.7,70.9,71.0,70.5,70.9,72.4,72.2,72.2,71.6,71.4,70.5,70.4,69.0,68.5,69.0,70.3,71.2,71.5,71.9,72.2,71.7,72.0,72.0,72.0,71.3,70.9,70.6,71.4,73.0,73.2,73.7,74.0,74.0,74.6,74.7,74.9,76.0,76.1,76.2,75.1,73.7,74.3,76.9,77.0,77.2,77.3,77.5,77.7,77.8,78.0,78.1,78.3,78.4,78.6,78.8,78.9,79.1,79.2,79.4,79.6,79.7,79.9,80.0,80.2,80.3,80.5,80.7,80.8,81.0,81.1,81.3,81.4,81.6,81.7,81.9,82.0,82.2,82.3,82.4,82.6,82.7,82.8,83.0,83.1,83.2,83.4,83.5,83.6,83.8,83.9,84.0,84.1,84.3,84.4,84.5,84.6,84.8,84.9,85.0,85.1,85.2,85.3,85.5,85.6,85.7,85.8,86.0,86.1,86.2,86.3,86.4,86.5,86.7,86.8,86.9,87.0,87.1,87.2,87.3,87.5
8,Latvia,Osman Kalyoncu Sonu Üzücü Saddest Videos Dream Engine 55 #shorts,Education,50.0,Latvia,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.1,33.1,33.2,33.2,33.3,33.3,33.4,33.4,33.5,33.9,34.2,34.6,35.0,35.4,35.8,36.2,36.6,37.0,37.4,37.8,38.1,38.6,39.0,39.4,39.8,40.2,40.6,41.0,41.4,41.8,42.2,42.6,43.0,43.4,43.8,44.2,44.6,45.0,45.4,45.9,46.3,46.7,47.1,47.5,47.9,48.3,48.7,49.1,49.5,49.9,50.3,50.8,51.1,51.6,52.0,52.4,52.8,53.2,53.6,54.0,54.4,54.8,54.1,44.1,43.9,43.3,39.0,44.1,52.5,63.0,61.3,62.7,59.4,58.6,62.0,60.2,61.1,58.9,62.5,63.4,63.3,65.6,62.3,65.2,64.7,63.8,67.5,66.9,58.8,35.1,49.0,47.8,26.7,43.2,62.6,54.7,67.0,67.7,68.4,68.5,68.7,68.9,69.1,69.3,69.5,69.7,69.9,70.1,70.3,70.4,70.2,70.5,71.6,71.4,71.3,71.0,70.7,70.5,70.5,70.6,70.3,70.2,70.1,69.5,69.5,69.4,69.2,69.0,69.2,69.2,69.8,69.7,69.6,69.9,71.2,71.3,71.1,70.3,69.8,69.4,68.8,66.9,65.7,66.7,69.0,69.7,69.3,70.1,70.7,70.1,70.5,71.0,71.3,70.9,70.5,70.9,72.1,72.9,73.3,73.9,74.2,74.2,74.7,75.1,75.7,75.8,75.8,75.9,75.8,73.9,76.3,76.4,76.5,76.7,76.8,76.9,77.1,77.2,77.4,77.5,77.6,77.8,77.9,78.1,78.2,78.4,78.5,78.6,78.8,78.9,79.1,79.2,79.4,79.5,79.7,79.8,80.0,80.1,80.3,80.4,80.6,80.7,80.9,81.0,81.2,81.3,81.5,81.6,81.7,81.9,82.0,82.2,82.3,82.4,82.6,82.7,82.8,83.0,83.1,83.2,83.3,83.5,83.6,83.7,83.9,84.0,84.1,84.2,84.3,84.5,84.6,84.7,84.8,84.9,85.0,85.2,85.3,85.4,85.5,85.6,85.7,85.9,86.0,86.1,86.2,86.3,86.4,86.5,86.7
9,Norway,"I call this the 'No, You Don't' Law",Education,50.0,Norway,37.9,35.8,38.4,38.7,40.5,44.3,43.8,41.8,37.3,27.2,36.5,38.0,43.5,33.5,41.7,45.6,46.3,48.9,46.8,45.8,47.0,44.7,46.1,48.8,47.6,49.2,47.6,48.4,46.2,46.3,45.8,45.7,47.6,44.9,42.0,46.1,46.5,44.2,42.9,43.0,45.6,49.5,48.4,48.4,49.7,50.1,48.0,44.8,45.0,48.0,49.5,49.7,48.5,47.9,51.7,50.5,50.4,50.2,51.6,50.0,50.0,45.8,44.7,46.7,48.8,50.5,50.0,47.9,47.2,49.3,50.9,49.7,50.1,49.7,47.8,47.7,46.9,49.8,51.9,53.2,52.0,50.5,47.5,49.7,50.9,51.1,51.8,51.8,50.5,49.1,48.7,49.9,49.8,51.5,50.7,52.9,53.9,53.8,54.1,51.7,53.6,54.7,56.6,55.1,56.2,55.2,57.0,56.6,56.4,57.6,58.1,58.2,57.9,58.5,58.0,58.3,57.4,57.9,50.4,57.0,59.0,61.8,61.0,62.0,62.3,62.7,63.4,63.1,63.6,62.7,64.3,64.3,64.8,65.7,66.4,66.0,66.1,66.3,67.3,67.6,66.1,66.0,65.9,66.4,66.1,68.5,69.8,70.3,71.4,71.8,71.9,72.2,72.6,72.9,73.1,73.2,73.3,73.3,73.3,73.4,73.4,73.4,73.3,73.2,73.5,73.6,73.9,73.9,74.0,74.0,74.3,74.4,74.5,74.7,75.0,75.1,75.3,75.6,75.7,75.7,76.0,76.2,76.3,76.4,76.5,76.3,76.4,76.3,76.5,76.7,76.9,77.2,77.3,77.5,77.8,78.0,78.3,78.5,78.5,78.7,78.9,79.1,79.3,79.7,80.1,80.4,80.5,80.7,80.9,81.1,81.3,81.3,81.6,81.8,82.2,82.4,82.5,82.8,82.8,82.9,83.1,83.2,83.3,83.5,83.7,83.8,83.9,84.0,84.2,84.3,84.5,84.6,84.7,84.8,85.0,85.1,85.2,85.3,85.5,85.6,85.7,85.8,85.9,86.0,86.2,86.3,86.4,86.5,86.6,86.8,86.9,87.0,87.1,87.2,87.3,87.5,87.6,87.7,87.8,87.9,88.0,88.2,88.3,88.4,88.5,88.6,88.7,88.8,89.0,89.1,89.2,89.3,89.4,89.5,89.7,89.8,89.9,90.0,90.1,90.2,90.3,90.5,90.6,90.7,90.8,90.9,91.0,91.2,91.3,91.4,91.5,91.6,91.7,91.8,91.9,92.0,92.2,92.3,92.4,92.5,92.6
