,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Bahrain,تجربة اغلى مياه بالعالم (٤ مليون دولار) 💰,Entertainment,3.5,Bahrain,5.5,5.5,4.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
1,Bahrain,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,3.5,Bahrain,5.5,5.5,4.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
2,Algeria,دار لي ما فيها كبير ما فيها لابنة لاخير اجواء العيد بين دار شيخي وداري جدي#الجزائر #tendances #ترند,Entertainment,3.5,Algeria,6.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,5.5,5.0,4.0,4.0,6.5,6.5,7.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
3,Algeria,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,3.5,Algeria,6.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,5.5,5.0,4.0,4.0,6.5,6.5,7.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
4,Algeria,كيفاش فوتت العيد/ واش لبست في الدار وبرا/ ديكور مائدة جزائرية/ وين رحت/ حنة العيد/ افضل عطر استعملتو,Entertainment,3.5,Algeria,6.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,5.5,5.0,4.0,4.0,6.5,6.5,7.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
5,Egypt,عملت اقوي مقلب في سلمي😭 رد فعلها وجع قلبنا💔,Entertainment,3.5,Egypt,6.0,6.0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,,5.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,5.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0
6,Iraq,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,3.5,Iraq,7.0,7.0,7.0,7.0,7.0,7.0,6.5,7.0,6.5,6.5,,6.5,7.0,7.0,7.0,7.0,7.0,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.5,6.0,6.0,6.0,5.5,5.5,5.5,6.0,5.5,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
7,Iraq,تجربة اغلى مياه بالعالم (٤ مليون دولار) 💰,Entertainment,3.5,Iraq,7.0,7.0,7.0,7.0,7.0,7.0,6.5,7.0,6.5,6.5,,6.5,7.0,7.0,7.0,7.0,7.0,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.5,6.0,6.0,6.0,5.5,5.5,5.5,6.0,5.5,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
8,Jordan,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,3.5,Jordan,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,5.0,5.0,5.0,5.0,5.5,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,5.0,5.5,5.0,4.5,4.5,4.5,4.5,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.0,5.0,5.0,5.5,5.5,5.5
9,Jordan,تجربة اغلى مياه بالعالم (٤ مليون دولار) 💰,Entertainment,3.5,Jordan,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,5.0,5.0,5.0,5.0,5.5,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,5.0,5.5,5.0,4.5,4.5,4.5,4.5,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.0,5.0,5.0,5.5,5.5,5.5
