,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,United Arab Emirates,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,50.0,United Arab Emirates,,67.3,,,68.7,71.0,71.2,72.2,66.2,65.4,65.7,68.3,70.4,66.0,67.1,64.6,67.3,65.7
1,Bahrain,تجربة اغلى مياه بالعالم (٤ مليون دولار) 💰,Entertainment,50.0,Bahrain,,,,,57.0,59.4,48.2,50.3,66.9,61.6,60.1,61.7,62.3,,71.0,61.7,,61.7
2,Bahrain,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,50.0,Bahrain,,,,,57.0,59.4,48.2,50.3,66.9,61.6,60.1,61.7,62.3,,71.0,61.7,,61.7
3,Algeria,دار لي ما فيها كبير ما فيها لابنة لاخير اجواء العيد بين دار شيخي وداري جدي#الجزائر #tendances #ترند,Entertainment,50.0,Algeria,,,,,,54.6,53.2,56.0,,63.5,,53.4,52.5,50.4,47.5,54.4,52.2,53.3
4,Algeria,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,50.0,Algeria,,,,,,54.6,53.2,56.0,,63.5,,53.4,52.5,50.4,47.5,54.4,52.2,53.3
5,Algeria,كيفاش فوتت العيد/ واش لبست في الدار وبرا/ ديكور مائدة جزائرية/ وين رحت/ حنة العيد/ افضل عطر استعملتو,Entertainment,50.0,Algeria,,,,,,54.6,53.2,56.0,,63.5,,53.4,52.5,50.4,47.5,54.4,52.2,53.3
6,Egypt,عملت اقوي مقلب في سلمي😭 رد فعلها وجع قلبنا💔,Entertainment,50.0,Egypt,51.7,,55.4,46.3,50.7,46.7,41.7,42.0,35.6,48.9,47.6,45.6,39.3,40.0,43.3,44.7,40.3,41.7
7,Iraq,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,50.0,Iraq,,,,45.9,47.8,50.6,47.3,46.6,47.3,45.4,44.9,44.1,44.6,48.9,,47.9,50.9,49.4
8,Iraq,تجربة اغلى مياه بالعالم (٤ مليون دولار) 💰,Entertainment,50.0,Iraq,,,,45.9,47.8,50.6,47.3,46.6,47.3,45.4,44.9,44.1,44.6,48.9,,47.9,50.9,49.4
9,Jordan,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,50.0,Jordan,63.0,,56.0,49.3,60.0,55.7,55.4,51.3,51.7,53.3,54.0,52.7,48.1,46.4,44.5,40.9,39.1,41.2
10,Jordan,تجربة اغلى مياه بالعالم (٤ مليون دولار) 💰,Entertainment,50.0,Jordan,63.0,,56.0,49.3,60.0,55.7,55.4,51.3,51.7,53.3,54.0,52.7,48.1,46.4,44.5,40.9,39.1,41.2
11,Jordan,كشف جنس الجنين 💖💙 استخدمنا كل الطرق 🥹,Entertainment,100.0,Jordan,63.0,,56.0,49.3,60.0,55.7,55.4,51.3,51.7,53.3,54.0,52.7,48.1,46.4,44.5,40.9,39.1,41.2
14,Lebanon,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,50.0,Lebanon,54.9,46.5,,46.0,52.1,50.3,51.9,45.7,49.8,52.3,51.7,52.7,51.5,51.7,40.2,26.3,21.8,23.9
15,Lebanon,تجربة اغلى مياه بالعالم (٤ مليون دولار) 💰,Entertainment,50.0,Lebanon,54.9,46.5,,46.0,52.1,50.3,51.9,45.7,49.8,52.3,51.7,52.7,51.5,51.7,40.2,26.3,21.8,23.9
16,Lebanon,كشف جنس الجنين 💖💙 استخدمنا كل الطرق 🥹,Entertainment,100.0,Lebanon,54.9,46.5,,46.0,52.1,50.3,51.9,45.7,49.8,52.3,51.7,52.7,51.5,51.7,40.2,26.3,21.8,23.9
19,Morocco,هبطت عند صديقتنا قدات ليا شعري 💆🏼‍♀️💆🏼‍♀️,Entertainment,50.0,Morocco,,,,,,43.8,50.9,49.7,51.4,,51.6,53.9,53.1,49.0,50.6,48.0,53.3,49.0
20,Morocco,تجربة اغلى مياه بالعالم (٤ مليون دولار) 💰,Entertainment,50.0,Morocco,,,,,,43.8,50.9,49.7,51.4,,51.6,53.9,53.1,49.0,50.6,48.0,53.3,49.0
21,Morocco,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,50.0,Morocco,,,,,,43.8,50.9,49.7,51.4,,51.6,53.9,53.1,49.0,50.6,48.0,53.3,49.0
22,Morocco,جات ختي  ليوم عندي داتني معاها,Entertainment,0.0,Morocco,,,,,,43.8,50.9,49.7,51.4,,51.6,53.9,53.1,49.0,50.6,48.0,53.3,49.0
28,Saudi Arabia,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,50.0,Saudi Arabia,70.8,,72.7,68.1,61.5,63.1,67.0,64.0,65.0,62.8,63.5,64.7,62.9,63.6,65.6,65.6,64.5,64.6
29,Saudi Arabia,تجربة اغلى مياه بالعالم (٤ مليون دولار) 💰,Entertainment,50.0,Saudi Arabia,70.8,,72.7,68.1,61.5,63.1,67.0,64.0,65.0,62.8,63.5,64.7,62.9,63.6,65.6,65.6,64.5,64.6
30,Tunisia,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,50.0,Tunisia,,,,,50.3,51.3,48.8,44.6,52.5,47.6,51.3,45.2,41.2,47.4,43.1,47.3,45.0,45.0
31,Tunisia,تجربة اغلى مياه بالعالم (٤ مليون دولار) 💰,Entertainment,50.0,Tunisia,,,,,50.3,51.3,48.8,44.6,52.5,47.6,51.3,45.2,41.2,47.4,43.1,47.3,45.0,45.0
42,Bulgaria,НАСИ СВЕЖ СРЕЩУ МОМИЧЕТА,Entertainment,50.0,Bulgaria,,,38.4,,,39.1,38.8,42.2,39.9,44.4,48.6,48.4,51.0,51.0,51.1,56.0,54.2,54.7
43,Bulgaria,ISSEI funny story 😂😂😂Strange World 🌏 Green,Entertainment,50.0,Bulgaria,,,38.4,,,39.1,38.8,42.2,39.9,44.4,48.6,48.4,51.0,51.0,51.1,56.0,54.2,54.7
44,Bulgaria,What’s Your Animal Strength?,Entertainment,100.0,Bulgaria,,,38.4,,,39.1,38.8,42.2,39.9,44.4,48.6,48.4,51.0,51.0,51.1,56.0,54.2,54.7
45,Bangladesh,Shoshur Barite Eid | শ্বশুর বাড়িতে ঈদ | Full Drama | Niloy Alamgir | Heme | Mohin Khan | Eid Natok,Entertainment,50.0,Bangladesh,,43.2,46.1,50.5,50.8,48.6,49.9,47.2,46.6,46.4,46.3,45.6,43.1,45.0,51.1,52.8,41.2,42.8
