,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Iraq,#فلم_ماين كرافت : لا تقول كلمة ( لا ) للام المرعبة,Film & Animation,0.0,Iraq,7.0,7.0,7.0,7.0,7.0,7.0,6.5,7.0,6.5,6.5,,6.5,7.0,7.0,7.0,7.0,7.0,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.5,6.0,6.0,6.0,5.5,5.5,5.5,6.0,5.5,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
1,Iraq,#فلم_ماين_كرافت : الجندي المحترف والجندي النوب,Film & Animation,7.0,Iraq,7.0,7.0,7.0,7.0,7.0,7.0,6.5,7.0,6.5,6.5,,6.5,7.0,7.0,7.0,7.0,7.0,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.5,6.0,6.0,6.0,5.5,5.5,5.5,6.0,5.5,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2,Oman,#فلم_ماين_كرافت : الجندي المحترف والجندي النوب,Film & Animation,7.0,Oman,6.5,6.5,6.5,6.5,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
3,Belarus,Help Herobrine Escape From Spike,Film & Animation,3.5,Belarus,,,,,,,,,,,,,,,,,,,,4.0,3.5,4.5,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.0,6.5,6.5,6.5,7.0,7.0
4,Switzerland,Help Herobrine Escape From Spike,Film & Animation,3.5,Switzerland,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,Australia,Joker: Folie à Deux | Official Teaser Trailer,Film & Animation,7.0,Australia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,Ireland,Joker: Folie à Deux | Official Teaser Trailer,Film & Animation,7.0,Ireland,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,Jamaica,#shortsThe kind boy took the initiative to pick up the pen for the teacher #movie #film,Film & Animation,7.0,Jamaica,1.5,1.5,1.5,1.5,2.0,2.5,2.5,2.5,2.5,2.5,,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0
8,Jamaica,Girl eating expired yogurt,Film & Animation,3.5,Jamaica,1.5,1.5,1.5,1.5,2.0,2.5,2.5,2.5,2.5,2.5,,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0
9,Jamaica,#shorts A man can judge another man's character and destiny by his face!,Film & Animation,0.0,Jamaica,1.5,1.5,1.5,1.5,2.0,2.5,2.5,2.5,2.5,2.5,,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0
10,Kenya,#shortsThe kind boy took the initiative to pick up the pen for the teacher #movie #film,Film & Animation,7.0,Kenya,4.5,4.5,4.5,5.0,5.0,5.0,4.5,4.5,4.5,5.0,,5.0,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,4.5,5.5,6.0,6.5,6.5,6.0,5.5,5.5,5.5,5.5,4.0,3.0,3.0,3.0,3.0,3.5,3.5,4.0,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
11,Malta,The figure skating champion girl has a strict mother.#shorts #viral,Film & Animation,0.0,Malta,1.5,1.0,1.0,1.0,1.5,2.0,2.0,2.5,2.5,2.5,,3.0,3.0,3.0,3.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5
12,South Africa,#shortsThe kind boy took the initiative to pick up the pen for the teacher #movie #film,Film & Animation,7.0,South Africa,4.0,4.5,4.5,4.5,4.5,5.5,5.5,5.5,5.5,5.5,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,4.5,4.5,4.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
13,Estonia,Help Herobrine Escape From Spike,Film & Animation,3.5,Estonia,,,,,,,,,,,,,,,,,,,,2.5,3.0,2.5,2.5,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,Philippines,#shortsThe kind boy took the initiative to pick up the pen for the teacher #movie #film,Film & Animation,7.0,Philippines,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,,5.0,4.0,3.5,3.0,2.0,2.5,2.5,3.0,3.0,3.0,3.5,3.5,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5
15,Philippines,Help Herobrine Escape From Spike,Film & Animation,3.5,Philippines,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,,5.0,4.0,3.5,3.0,2.0,2.5,2.5,3.0,3.0,3.0,3.5,3.5,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5
16,Senegal,BÉTÉ BÉTÉ - Saison 1 - Episode 19 **VOSTFR**,Film & Animation,0.0,Senegal,6.0,6.0,5.5,5.0,5.0,4.0,3.5,4.0,4.0,4.0,,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.5,4.5,4.5,4.0,4.0,4.0,4.0,3.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,2.5,2.0,2.0,2.0,2.0,2.0,2.5,3.0,3.0,3.0,3.0
17,Indonesia,PAK RUNGKAD KAWIN PART 1 - Animasi Sekolah,Film & Animation,0.0,Indonesia,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.5,5.5,5.5,5.5,5.0,5.0,5.5,5.5,5.5,6.5,6.5,6.5,6.0,6.0,5.0,4.0,3.5,3.5,3.5,3.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
18,Iceland,Joker: Folie à Deux | Official Teaser Trailer,Film & Animation,7.0,Iceland,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,Georgia,Help Herobrine Escape From Spike,Film & Animation,3.5,Georgia,,,,,,,,,,,,,,,,,,,,5.5,4.5,5.0,5.0,4.5,4.0,3.5,3.5,3.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0,4.0,4.0,4.0,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5
20,Kazakhstan,Help Herobrine Escape From Spike,Film & Animation,3.5,Kazakhstan,,,,,,,,,,,,,,,,,,,,4.5,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0
21,Kazakhstan,КАРМАНЧИК 2 СЕЗОН 3 СЕРИЯ,Film & Animation,3.5,Kazakhstan,,,,,,,,,,,,,,,,,,,,4.5,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0
22,Lithuania,Help Herobrine Escape From Spike,Film & Animation,3.5,Lithuania,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5
