,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Iraq,#فلم_ماين كرافت : لا تقول كلمة ( لا ) للام المرعبة,Film & Animation,0.0,Iraq,,,,45.9,47.8,50.6,47.3,46.6,47.3,45.4,44.9,44.1,44.6,48.9,,47.9,50.9,49.4
1,Iraq,#فلم_ماين_كرافت : الجندي المحترف والجندي النوب,Film & Animation,100.0,Iraq,,,,45.9,47.8,50.6,47.3,46.6,47.3,45.4,44.9,44.1,44.6,48.9,,47.9,50.9,49.4
4,Switzerland,Help Herobrine Escape From Spike,Film & Animation,50.0,Switzerland,,74.7,,,75.3,,,77.8,,74.9,75.7,74.6,74.7,75.1,76.9,75.1,73.3,72.4
5,Australia,Joker: Folie à Deux | Official Teaser Trailer,Film & Animation,100.0,Australia,73.4,,72.8,72.5,,74.5,74.1,72.0,73.6,72.9,73.1,72.5,72.6,71.8,72.3,71.4,71.1,71.0
6,Ireland,Joker: Folie à Deux | Official Teaser Trailer,Film & Animation,100.0,Ireland,,71.4,,75.7,70.5,72.6,70.1,69.7,67.6,70.2,68.3,70.4,70.6,69.6,72.5,70.3,68.3,69.1
7,Jamaica,#shortsThe kind boy took the initiative to pick up the pen for the teacher #movie #film,Film & Animation,100.0,Jamaica,,62.1,,,,,53.7,,57.1,53.1,,,58.9,,63.1,54.3,58.1,57.0
8,Jamaica,Girl eating expired yogurt,Film & Animation,50.0,Jamaica,,62.1,,,,,53.7,,57.1,53.1,,,58.9,,63.1,54.3,58.1,57.0
9,Jamaica,#shorts A man can judge another man's character and destiny by his face!,Film & Animation,0.0,Jamaica,,62.1,,,,,53.7,,57.1,53.1,,,58.9,,63.1,54.3,58.1,57.0
10,Kenya,#shortsThe kind boy took the initiative to pick up the pen for the teacher #movie #film,Film & Animation,100.0,Kenya,,42.2,45.8,40.1,42.7,42.6,44.0,45.5,38.0,49.0,43.6,44.0,44.8,46.6,46.2,45.5,44.6,44.9
11,Malta,The figure skating champion girl has a strict mother.#shorts #viral,Film & Animation,0.0,Malta,,,,,63.3,57.7,61.5,59.6,63.8,64.5,66.1,65.9,66.8,69.1,67.3,61.6,64.4,63.0
12,South Africa,#shortsThe kind boy took the initiative to pick up the pen for the teacher #movie #film,Film & Animation,100.0,South Africa,,50.8,52.0,53.5,52.2,46.5,49.3,51.3,36.6,48.3,48.9,47.7,45.1,48.8,50.4,49.5,56.0,52.8
13,Estonia,Help Herobrine Escape From Spike,Film & Animation,50.0,Estonia,,53.7,53.3,54.5,51.4,,54.9,53.6,53.7,55.6,56.3,56.5,59.4,60.9,60.4,64.5,65.5,64.5
14,Philippines,#shortsThe kind boy took the initiative to pick up the pen for the teacher #movie #film,Film & Animation,100.0,Philippines,,46.7,50.7,45.9,48.8,49.4,49.9,50.0,49.8,53.1,55.5,54.3,55.9,58.7,62.7,50.8,59.6,55.2
15,Philippines,Help Herobrine Escape From Spike,Film & Animation,50.0,Philippines,,46.7,50.7,45.9,48.8,49.4,49.9,50.0,49.8,53.1,55.5,54.3,55.9,58.7,62.7,50.8,59.6,55.2
16,Senegal,BÉTÉ BÉTÉ - Saison 1 - Episode 19 **VOSTFR**,Film & Animation,0.0,Senegal,,44.2,46.8,46.8,43.4,43.7,38.3,36.7,36.5,44.0,46.2,46.0,46.8,47.7,54.9,47.6,49.0,48.5
