,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Bahrain,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,7.0,Bahrain,5.5,5.5,4.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
1,Bahrain,هارد لايف #15 خطوة بخطوة لعمل قولدن ابل فارم !!؟,Gaming,3.5,Bahrain,5.5,5.5,4.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
2,Iraq,هارد لايف #15 خطوة بخطوة لعمل قولدن ابل فارم !!؟,Gaming,3.5,Iraq,7.0,7.0,7.0,7.0,7.0,7.0,6.5,7.0,6.5,6.5,,6.5,7.0,7.0,7.0,7.0,7.0,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.5,6.0,6.0,6.0,5.5,5.5,5.5,6.0,5.5,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
3,Iraq,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,7.0,Iraq,7.0,7.0,7.0,7.0,7.0,7.0,6.5,7.0,6.5,6.5,,6.5,7.0,7.0,7.0,7.0,7.0,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.5,6.0,6.0,6.0,5.5,5.5,5.5,6.0,5.5,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
4,Iraq,هارد لايف #19 / بداية الحرب مصطفى كيم اوفر حياته في خطر ( انا مهدد من شخص مجهول ),Gaming,3.5,Iraq,7.0,7.0,7.0,7.0,7.0,7.0,6.5,7.0,6.5,6.5,,6.5,7.0,7.0,7.0,7.0,7.0,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.5,6.0,6.0,6.0,5.5,5.5,5.5,6.0,5.5,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
5,Jordan,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,7.0,Jordan,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,5.0,5.0,5.0,5.0,5.5,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,5.0,5.5,5.0,4.5,4.5,4.5,4.5,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.0,5.0,5.0,5.5,5.5,5.5
6,Kuwait,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,7.0,Kuwait,4.0,3.5,3.5,3.5,5.5,5.0,5.0,5.0,5.0,4.0,,4.0,4.0,4.0,5.5,5.5,5.5,5.0,7.0,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.0,4.0,4.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7,Lebanon,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,7.0,Lebanon,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,,4.5,4.5,4.5,4.5,5.5,5.5,5.5,5.5,5.0,4.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,4.5,4.5,4.5,4.0,4.0,4.5,4.5,4.5,4.5,4.5,4.5,5.0,4.5,4.5,4.5,4.5,4.5
8,Lebanon,هارد لايف #15 خطوة بخطوة لعمل قولدن ابل فارم !!؟,Gaming,3.5,Lebanon,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,,4.5,4.5,4.5,4.5,5.5,5.5,5.5,5.5,5.0,4.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,4.5,4.5,4.5,4.0,4.0,4.5,4.5,4.5,4.5,4.5,4.5,5.0,4.5,4.5,4.5,4.5,4.5
9,Libya,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,7.0,Libya,6.5,7.0,7.0,6.5,6.5,6.0,6.0,6.0,6.5,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.5,4.5,4.5,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5
10,Oman,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,7.0,Oman,6.5,6.5,6.5,6.5,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
11,Qatar,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,7.0,Qatar,5.5,5.5,5.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.0,6.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
12,Saudi Arabia,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,7.0,Saudi Arabia,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.5,6.5,6.5,6.5,6.5,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
13,Tunisia,هارد لايف #15 خطوة بخطوة لعمل قولدن ابل فارم !!؟,Gaming,3.5,Tunisia,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,,5.0,5.0,5.0,5.5,5.5,5.0,4.0,4.5,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,3.5,3.5,3.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,3.0,3.5
14,Tunisia,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,7.0,Tunisia,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,,5.0,5.0,5.0,5.5,5.5,5.0,4.0,4.5,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,3.5,3.5,3.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,3.0,3.5
