,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,United Arab Emirates,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,100.0,United Arab Emirates,,67.3,,,68.7,71.0,71.2,72.2,66.2,65.4,65.7,68.3,70.4,66.0,67.1,64.6,67.3,65.7
1,Bahrain,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,100.0,Bahrain,,,,,57.0,59.4,48.2,50.3,66.9,61.6,60.1,61.7,62.3,,71.0,61.7,,61.7
2,Bahrain,هارد لايف #15 خطوة بخطوة لعمل قولدن ابل فارم !!؟,Gaming,50.0,Bahrain,,,,,57.0,59.4,48.2,50.3,66.9,61.6,60.1,61.7,62.3,,71.0,61.7,,61.7
3,Iraq,هارد لايف #15 خطوة بخطوة لعمل قولدن ابل فارم !!؟,Gaming,50.0,Iraq,,,,45.9,47.8,50.6,47.3,46.6,47.3,45.4,44.9,44.1,44.6,48.9,,47.9,50.9,49.4
4,Iraq,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,100.0,Iraq,,,,45.9,47.8,50.6,47.3,46.6,47.3,45.4,44.9,44.1,44.6,48.9,,47.9,50.9,49.4
5,Iraq,هارد لايف #19 / بداية الحرب مصطفى كيم اوفر حياته في خطر ( انا مهدد من شخص مجهول ),Gaming,50.0,Iraq,,,,45.9,47.8,50.6,47.3,46.6,47.3,45.4,44.9,44.1,44.6,48.9,,47.9,50.9,49.4
6,Jordan,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,100.0,Jordan,63.0,,56.0,49.3,60.0,55.7,55.4,51.3,51.7,53.3,54.0,52.7,48.1,46.4,44.5,40.9,39.1,41.2
8,Lebanon,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,100.0,Lebanon,54.9,46.5,,46.0,52.1,50.3,51.9,45.7,49.8,52.3,51.7,52.7,51.5,51.7,40.2,26.3,21.8,23.9
9,Lebanon,هارد لايف #15 خطوة بخطوة لعمل قولدن ابل فارم !!؟,Gaming,50.0,Lebanon,54.9,46.5,,46.0,52.1,50.3,51.9,45.7,49.8,52.3,51.7,52.7,51.5,51.7,40.2,26.3,21.8,23.9
13,Saudi Arabia,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,100.0,Saudi Arabia,70.8,,72.7,68.1,61.5,63.1,67.0,64.0,65.0,62.8,63.5,64.7,62.9,63.6,65.6,65.6,64.5,64.6
14,Tunisia,هارد لايف #15 خطوة بخطوة لعمل قولدن ابل فارم !!؟,Gaming,50.0,Tunisia,,,,,50.3,51.3,48.8,44.6,52.5,47.6,51.3,45.2,41.2,47.4,43.1,47.3,45.0,45.0
15,Tunisia,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,100.0,Tunisia,,,,,50.3,51.3,48.8,44.6,52.5,47.6,51.3,45.2,41.2,47.4,43.1,47.3,45.0,45.0
17,Bulgaria,WWE is real💔,Gaming,0.0,Bulgaria,,,38.4,,,39.1,38.8,42.2,39.9,44.4,48.6,48.4,51.0,51.0,51.1,56.0,54.2,54.7
18,Bosnia and Herzegovina,WWE is real💔,Gaming,0.0,Bosnia and Herzegovina,,,49.0,,49.6,46.7,50.0,47.7,51.2,52.5,51.2,51.8,50.9,58.9,60.2,55.2,57.5,56.3
19,Denmark,WWE is real💔,Gaming,0.0,Denmark,80.2,,78.3,79.7,76.8,77.7,77.9,75.2,75.9,75.1,75.1,75.6,75.9,76.5,76.9,75.2,77.0,75.9
20,Austria,"""The Song Burning in the Embers"" Full Animated Short | Genshin Impact #GenshinImpact",Gaming,50.0,Austria,,71.2,,71.8,,73.0,74.7,74.0,75.0,69.5,70.8,70.5,72.9,74.0,72.0,72.1,70.8,71.0
21,Germany,"""The Song Burning in the Embers"" Full Animated Short | Genshin Impact #GenshinImpact",Gaming,50.0,Germany,66.2,,64.2,65.2,66.4,67.3,66.2,67.0,69.7,69.8,70.4,68.7,70.7,71.2,70.3,73.1,67.5,68.9
22,Belgium,WWE is real💔,Gaming,0.0,Belgium,72.6,,72.2,71.2,,68.5,71.1,69.3,71.0,68.5,69.0,69.5,69.3,68.9,67.7,68.4,68.8,68.6
23,Canada,Can You Beat Minecraft in a Potato ONLY World?,Gaming,50.0,Canada,74.2,,74.8,74.9,74.9,76.5,74.3,74.2,75.9,73.0,74.1,72.5,74.2,71.8,71.1,70.3,69.4,69.6
