,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Morocco,مشيت في نص ليل جبت ماما 😔 تسرقات ليا 2 مليون وعرفت شكون🙏,Howto & Style,0.0,Morocco,4.5,5.0,5.0,5.0,5.0,3.5,3.5,4.0,4.0,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.0,5.0,5.5,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0
1,Azerbaijan,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Azerbaijan,,,,,,,,,,,,,,,,,,,,5.0,5.0,6.0,6.0,6.0,5.5,5.0,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,7.0,7.0
2,Bangladesh,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Bangladesh,3.0,4.0,4.0,6.0,5.5,5.0,4.0,3.0,3.5,5.0,,5.5,5.5,5.0,4.5,4.5,4.5,4.0,5.0,2.5,2.5,3.0,3.0,3.5,3.0,3.0,3.0,3.5,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.5,4.0,3.5,3.5,3.5,3.5,3.5,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0
3,Bosnia and Herzegovina,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.5,4.5,4.0,4.0,3.5,3.5,3.0,3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4,Greece,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Greece,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,,1.5,1.5,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,2.0
5,Belgium,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Belgium,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,Ghana,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Ghana,6.0,6.5,6.0,6.0,6.0,5.5,4.5,4.0,2.5,5.5,,5.5,6.5,6.5,6.5,6.5,6.0,5.5,5.5,6.0,5.0,4.5,4.5,4.0,3.5,3.0,3.0,3.0,2.5,2.5,2.5,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0
7,Israel,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Israel,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.5,2.5,2.5,2.5,2.5
8,India,സരസ്വതി മോളുടെ ആദ്യത്തെ വിഷു ആഘോഷം | Introducing our Saraswathy Mol,Howto & Style,7.0,India,2.5,2.5,2.5,3.5,4.0,2.0,2.0,2.0,2.5,2.5,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,4.0,4.0,4.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0
9,Jamaica,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Jamaica,1.5,1.5,1.5,1.5,2.0,2.5,2.5,2.5,2.5,2.5,,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0
10,Kenya,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Kenya,4.5,4.5,4.5,5.0,5.0,5.0,4.5,4.5,4.5,5.0,,5.0,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,4.5,5.5,6.0,6.5,6.5,6.0,5.5,5.5,5.5,5.5,4.0,3.0,3.0,3.0,3.0,3.5,3.5,4.0,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
