,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Morocco,مشيت في نص ليل جبت ماما 😔 تسرقات ليا 2 مليون وعرفت شكون🙏,Howto & Style,0.0,Morocco,,,,,,43.8,50.9,49.7,51.4,,51.6,53.9,53.1,49.0,50.6,48.0,53.3,49.0
2,Bangladesh,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Bangladesh,,43.2,46.1,50.5,50.8,48.6,49.9,47.2,46.6,46.4,46.3,45.6,43.1,45.0,51.1,52.8,41.2,42.8
3,Bosnia and Herzegovina,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Bosnia and Herzegovina,,,49.0,,49.6,46.7,50.0,47.7,51.2,52.5,51.2,51.8,50.9,58.9,60.2,55.2,57.5,56.3
4,Greece,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Greece,60.1,,66.5,,60.4,58.4,53.7,51.0,47.2,47.6,56.2,53.0,51.5,54.1,59.5,57.9,61.0,59.3
5,Belgium,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Belgium,72.6,,72.2,71.2,,68.5,71.1,69.3,71.0,68.5,69.0,69.5,69.3,68.9,67.7,68.4,68.8,68.6
6,Ghana,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Ghana,,45.4,52.2,49.6,42.0,46.1,56.1,50.6,49.6,38.6,39.9,45.1,54.8,50.0,49.7,53.2,43.8,46.0
7,Israel,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Israel,,71.7,68.4,72.6,73.5,73.6,74.3,71.1,73.2,74.0,70.8,71.6,73.3,69.3,73.3,72.0,75.8,74.7
8,India,സരസ്വതി മോളുടെ ആദ്യത്തെ വിഷു ആഘോഷം | Introducing our Saraswathy Mol,Howto & Style,100.0,India,,53.5,50.3,51.5,45.2,49.9,46.4,47.2,44.3,44.2,43.4,41.8,40.5,38.2,32.5,42.2,35.6,40.4
9,Jamaica,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Jamaica,,62.1,,,,,53.7,,57.1,53.1,,,58.9,,63.1,54.3,58.1,57.0
10,Kenya,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Kenya,,42.2,45.8,40.1,42.7,42.6,44.0,45.5,38.0,49.0,43.6,44.0,44.8,46.6,46.2,45.5,44.6,44.9
11,Malta,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Malta,,,,,63.3,57.7,61.5,59.6,63.8,64.5,66.1,65.9,66.8,69.1,67.3,61.6,64.4,63.0
12,Nigeria,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Nigeria,,47.1,48.9,49.4,49.8,47.6,,54.9,48.2,,49.3,52.2,53.2,52.5,42.7,55.0,44.8,49.8
13,New Zealand,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,New Zealand,,73.0,76.0,73.8,,72.2,71.9,72.5,72.8,73.1,74.2,72.3,73.3,73.7,72.0,72.6,71.4,71.2
14,Singapore,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Singapore,,64.6,68.3,66.4,61.5,65.3,65.6,,65.3,70.6,66.2,60.3,63.8,63.8,63.8,,65.9,65.9
15,Uganda,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Uganda,,37.3,44.6,45.7,46.1,41.9,48.3,43.1,37.1,37.7,42.4,42.3,40.0,43.2,49.5,46.4,42.3,44.3
16,South Africa,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,South Africa,,50.8,52.0,53.5,52.2,46.5,49.3,51.3,36.6,48.3,48.9,47.7,45.1,48.8,50.4,49.5,56.0,52.8
17,Zimbabwe,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Zimbabwe,,38.3,32.8,31.7,40.6,46.8,48.5,49.5,46.9,41.8,37.0,37.4,36.4,36.2,26.9,31.6,31.6,32.0
18,El Salvador,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,El Salvador,,57.0,53.0,51.9,68.4,67.4,47.4,59.3,63.3,58.6,60.2,61.4,63.4,62.4,64.5,54.6,64.3,61.2
19,Estonia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Estonia,,53.7,53.3,54.5,51.4,,54.9,53.6,53.7,55.6,56.3,56.5,59.4,60.9,60.4,64.5,65.5,64.5
20,Philippines,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Philippines,,46.7,50.7,45.9,48.8,49.4,49.9,50.0,49.8,53.1,55.5,54.3,55.9,58.7,62.7,50.8,59.6,55.2
21,Senegal,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Senegal,,44.2,46.8,46.8,43.4,43.7,38.3,36.7,36.5,44.0,46.2,46.0,46.8,47.7,54.9,47.6,49.0,48.5
22,Senegal,Good People Restore Faith in Humanity: A Heartwarming Act of Kindness on a Bus #shorts,Howto & Style,50.0,Senegal,,44.2,46.8,46.8,43.4,43.7,38.3,36.7,36.5,44.0,46.2,46.0,46.8,47.7,54.9,47.6,49.0,48.5
23,Croatia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Croatia,,,58.2,,54.3,56.0,53.9,60.3,58.9,53.8,52.0,54.2,53.4,55.4,56.3,65.1,62.9,61.3
24,Hungary,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Hungary,51.9,,49.5,,49.0,47.3,49.2,46.8,49.1,51.8,53.4,54.5,60.6,59.4,60.0,60.4,62.3,60.4
25,Italy,Genial gadget para almacenar y lavar lentes de Let's GLOW,Howto & Style,50.0,Italy,68.5,,65.7,67.8,63.3,63.5,60.6,58.4,60.1,60.3,58.5,59.5,62.0,65.2,64.5,64.9,64.7,64.0
26,Georgia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Georgia,,36.8,37.1,41.6,38.0,41.0,42.0,42.5,43.5,42.9,41.2,44.5,44.5,46.6,48.9,51.2,49.1,51.1
27,Kazakhstan,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Kazakhstan,,54.8,57.2,58.9,53.8,55.1,57.4,57.6,58.4,59.7,59.5,55.3,58.8,60.1,62.7,61.7,62.6,61.4
28,Luxembourg,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Luxembourg,,,,,69.6,71.0,71.0,69.6,71.3,68.9,67.0,69.7,70.6,72.4,74.0,,,72.3
29,Lithuania,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Lithuania,,59.5,58.1,55.5,54.7,50.7,54.3,57.7,56.0,61.3,57.1,58.7,62.7,63.1,60.6,63.9,68.7,67.6
30,Latvia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Latvia,,47.1,46.7,51.5,46.7,,49.7,51.3,50.7,57.3,58.8,59.4,59.8,59.0,59.7,62.3,63.5,62.1
31,North Macedonia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,North Macedonia,,,44.9,,44.3,41.8,49.0,46.4,51.9,52.0,49.8,53.5,52.3,52.4,50.1,50.5,55.4,52.5
32,Malaysia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Malaysia,,60.1,62.4,58.1,53.9,55.8,57.9,59.1,57.7,59.6,63.2,,,53.4,54.3,60.1,60.1,60.1
