,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Algeria,Cheba Souad 2024 feat Tchikou 22 [ Sahbi Chebab 3lik وانا شابة علا مادامتك ]￼Exclusive Clip Officiel,Music,7.0,Algeria,6.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,5.5,5.0,4.0,4.0,6.5,6.5,7.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
1,Algeria,Cheikh Mourad Djadja Avec Tchikou 22 Relation Jdida - عرفت شا نخير ( Succes Rai 2024 ),Music,7.0,Algeria,6.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,5.5,5.0,4.0,4.0,6.5,6.5,7.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2,Algeria,Cheb Mehdi - Message Tali Fih Nssani avec Raouf Samorai (Clip officiel 2024),Music,0.0,Algeria,6.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,5.5,5.0,4.0,4.0,6.5,6.5,7.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
3,Algeria,Nassif Zeytoun x Rahma Riad - Ma Fi Leil [Official Video] / ناصيف زيتون ورحمة رياض - ما في ليل,Music,3.5,Algeria,6.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,5.5,5.0,4.0,4.0,6.5,6.5,7.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
4,Algeria,A.L.A - Ghaba (Official Music Video),Music,0.0,Algeria,6.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,5.5,5.0,4.0,4.0,6.5,6.5,7.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
5,Egypt,EL MABDA2,Music,3.5,Egypt,6.0,6.0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,,5.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,5.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0
6,Iraq,Nassif Zeytoun x Rahma Riad - Ma Fi Leil [Official Video] / ناصيف زيتون ورحمة رياض - ما في ليل,Music,3.5,Iraq,7.0,7.0,7.0,7.0,7.0,7.0,6.5,7.0,6.5,6.5,,6.5,7.0,7.0,7.0,7.0,7.0,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.5,6.0,6.0,6.0,5.5,5.5,5.5,6.0,5.5,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
7,Jordan,Nassif Zeytoun x Rahma Riad - Ma Fi Leil [Official Video] / ناصيف زيتون ورحمة رياض - ما في ليل,Music,3.5,Jordan,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,5.0,5.0,5.0,5.0,5.5,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,5.0,5.5,5.0,4.5,4.5,4.5,4.5,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.0,5.0,5.0,5.5,5.5,5.5
8,Kuwait,Nassif Zeytoun x Rahma Riad - Ma Fi Leil [Official Video] / ناصيف زيتون ورحمة رياض - ما في ليل,Music,3.5,Kuwait,4.0,3.5,3.5,3.5,5.5,5.0,5.0,5.0,5.0,4.0,,4.0,4.0,4.0,5.5,5.5,5.5,5.0,7.0,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.0,4.0,4.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
9,Lebanon,Nassif Zeytoun x Rahma Riad - Ma Fi Leil [Official Video] / ناصيف زيتون ورحمة رياض - ما في ليل,Music,3.5,Lebanon,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,,4.5,4.5,4.5,4.5,5.5,5.5,5.5,5.5,5.0,4.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,4.5,4.5,4.5,4.0,4.0,4.5,4.5,4.5,4.5,4.5,4.5,5.0,4.5,4.5,4.5,4.5,4.5
