,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,United Arab Emirates,Nassif Zeytoun x Rahma Riad - Ma Fi Leil [Official Video] / ناصيف زيتون ورحمة رياض - ما في ليل,Music,50.0,United Arab Emirates,,67.3,,,68.7,71.0,71.2,72.2,66.2,65.4,65.7,68.3,70.4,66.0,67.1,64.6,67.3,65.7
1,United Arab Emirates,Whistle Podu Lyrical Video | The Greatest Of All Time | Thalapathy Vijay | VP | U1 | AGS | T-Series,Music,100.0,United Arab Emirates,,67.3,,,68.7,71.0,71.2,72.2,66.2,65.4,65.7,68.3,70.4,66.0,67.1,64.6,67.3,65.7
2,Algeria,Cheba Souad 2024 feat Tchikou 22 [ Sahbi Chebab 3lik وانا شابة علا مادامتك ]￼Exclusive Clip Officiel,Music,100.0,Algeria,,,,,,54.6,53.2,56.0,,63.5,,53.4,52.5,50.4,47.5,54.4,52.2,53.3
3,Algeria,Cheikh Mourad Djadja Avec Tchikou 22 Relation Jdida - عرفت شا نخير ( Succes Rai 2024 ),Music,100.0,Algeria,,,,,,54.6,53.2,56.0,,63.5,,53.4,52.5,50.4,47.5,54.4,52.2,53.3
4,Algeria,Cheb Mehdi - Message Tali Fih Nssani avec Raouf Samorai (Clip officiel 2024),Music,0.0,Algeria,,,,,,54.6,53.2,56.0,,63.5,,53.4,52.5,50.4,47.5,54.4,52.2,53.3
5,Algeria,Nassif Zeytoun x Rahma Riad - Ma Fi Leil [Official Video] / ناصيف زيتون ورحمة رياض - ما في ليل,Music,50.0,Algeria,,,,,,54.6,53.2,56.0,,63.5,,53.4,52.5,50.4,47.5,54.4,52.2,53.3
6,Algeria,A.L.A - Ghaba (Official Music Video),Music,0.0,Algeria,,,,,,54.6,53.2,56.0,,63.5,,53.4,52.5,50.4,47.5,54.4,52.2,53.3
7,Egypt,EL MABDA2,Music,50.0,Egypt,51.7,,55.4,46.3,50.7,46.7,41.7,42.0,35.6,48.9,47.6,45.6,39.3,40.0,43.3,44.7,40.3,41.7
8,Iraq,Nassif Zeytoun x Rahma Riad - Ma Fi Leil [Official Video] / ناصيف زيتون ورحمة رياض - ما في ليل,Music,50.0,Iraq,,,,45.9,47.8,50.6,47.3,46.6,47.3,45.4,44.9,44.1,44.6,48.9,,47.9,50.9,49.4
9,Jordan,Nassif Zeytoun x Rahma Riad - Ma Fi Leil [Official Video] / ناصيف زيتون ورحمة رياض - ما في ليل,Music,50.0,Jordan,63.0,,56.0,49.3,60.0,55.7,55.4,51.3,51.7,53.3,54.0,52.7,48.1,46.4,44.5,40.9,39.1,41.2
11,Lebanon,Nassif Zeytoun x Rahma Riad - Ma Fi Leil [Official Video] / ناصيف زيتون ورحمة رياض - ما في ليل,Music,50.0,Lebanon,54.9,46.5,,46.0,52.1,50.3,51.9,45.7,49.8,52.3,51.7,52.7,51.5,51.7,40.2,26.3,21.8,23.9
12,Lebanon,Siilawy - Elfy (Official Music Video) | الفي,Music,100.0,Lebanon,54.9,46.5,,46.0,52.1,50.3,51.9,45.7,49.8,52.3,51.7,52.7,51.5,51.7,40.2,26.3,21.8,23.9
17,Saudi Arabia,Nassif Zeytoun x Rahma Riad - Ma Fi Leil [Official Video] / ناصيف زيتون ورحمة رياض - ما في ليل,Music,50.0,Saudi Arabia,70.8,,72.7,68.1,61.5,63.1,67.0,64.0,65.0,62.8,63.5,64.7,62.9,63.6,65.6,65.6,64.5,64.6
18,Tunisia,A.L.A - Ghaba (Official Music Video),Music,0.0,Tunisia,,,,,50.3,51.3,48.8,44.6,52.5,47.6,51.3,45.2,41.2,47.4,43.1,47.3,45.0,45.0
19,Tunisia,Nassif Zeytoun x Rahma Riad - Ma Fi Leil [Official Video] / ناصيف زيتون ورحمة رياض - ما في ليل,Music,50.0,Tunisia,,,,,50.3,51.3,48.8,44.6,52.5,47.6,51.3,45.2,41.2,47.4,43.1,47.3,45.0,45.0
23,Bulgaria,"PRESLAVA - DA I PRISEDNE / Преслава - Да ѝ приседне, 2024",Music,0.0,Bulgaria,,,38.4,,,39.1,38.8,42.2,39.9,44.4,48.6,48.4,51.0,51.0,51.1,56.0,54.2,54.7
24,Bulgaria,"Toni Storaro x Kiril Kirilov ft. Alisia - Top, Top, Top | Official 4K Video, 2024",Music,50.0,Bulgaria,,,38.4,,,39.1,38.8,42.2,39.9,44.4,48.6,48.4,51.0,51.0,51.1,56.0,54.2,54.7
25,Bulgaria,SIMONA - HAPI ME / СИМОНА - ХАПИ МЕ [OFFICIAL 4K VIDEO] 2024,Music,50.0,Bulgaria,,,38.4,,,39.1,38.8,42.2,39.9,44.4,48.6,48.4,51.0,51.0,51.1,56.0,54.2,54.7
27,Bulgaria,"V:RGO, Mishell – TOCHNA DOZA / ТОЧНА ДОЗА [Official Video]",Music,0.0,Bulgaria,,,38.4,,,39.1,38.8,42.2,39.9,44.4,48.6,48.4,51.0,51.0,51.1,56.0,54.2,54.7
28,Bosnia and Herzegovina,SLOBA RADANOVIC X BRESKVICA & DEJAN PETROVIC - OLOVO (OFFICIAL VIDEO),Music,100.0,Bosnia and Herzegovina,,,49.0,,49.6,46.7,50.0,47.7,51.2,52.5,51.2,51.8,50.9,58.9,60.2,55.2,57.5,56.3
