,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Yemen,الهجوم الإيراني بالأرقام.. عدد الصواريخ والمسيرات| #الظهيرة,News & Politics,0.0,Yemen,5.5,5.8,5.8,6.3,6.3,6.3,6.0,6.0,6.0,6.0,,6.0,5.8,5.8,5.8,5.8,6.0,6.0,5.5,5.5,5.0,4.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,6.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
1,Yemen,لحظة بلحظة.. أول تعليق من الجيش الإسرائيلي على بدء الهجوم الإيراني - أخبار الشرق,News & Politics,7.0,Yemen,5.5,5.8,5.8,6.3,6.3,6.3,6.0,6.0,6.0,6.0,,6.0,5.8,5.8,5.8,5.8,6.0,6.0,5.5,5.5,5.0,4.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,6.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
2,Azerbaijan,Alatava | 2-ci bölüm | 14.04.2024,News & Politics,3.5,Azerbaijan,,,,,,,,,,,,,,,,,,,,5.0,5.0,6.0,6.0,6.0,5.5,5.0,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,7.0,7.0
3,Azerbaijan,"“Ərzağı İrandan alırdıq, ucuz idi”, İranla sərhəddə yaşayanlar",News & Politics,3.5,Azerbaijan,,,,,,,,,,,,,,,,,,,,5.0,5.0,6.0,6.0,6.0,5.5,5.0,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,7.0,7.0
4,Belarus,"😯 Кассирша притворилась спящей и вот, что делали покупатели! | Новостничок",News & Politics,3.5,Belarus,,,,,,,,,,,,,,,,,,,,4.0,3.5,4.5,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.0,6.5,6.5,6.5,7.0,7.0
5,Denmark,Fed up homeowner confronts car thief in his driveway,News & Politics,0.0,Denmark,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,Austria,Krieg in Hamburgs Drogen-Milieu: Die weltweite Jagd nach dem Koks-Paten | SPIEGEL TV,News & Politics,3.5,Austria,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,Switzerland,Fed up homeowner confronts car thief in his driveway,News & Politics,0.0,Switzerland,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,Germany,Krieg in Hamburgs Drogen-Milieu: Die weltweite Jagd nach dem Koks-Paten | SPIEGEL TV,News & Politics,3.5,Germany,4.0,4.0,4.0,4.0,4.0,4.3,4.0,4.0,4.3,4.3,,4.3,4.0,4.0,4.0,4.0,4.0,3.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,Greece,Φίλης: Πόλεμος Ιράν - Ισραήλ οδηγεί ξεκάθαρα σε Τρίτο Παγκόσμιο,News & Politics,3.5,Greece,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,,1.5,1.5,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,2.0
11,Greece,Μάζης: Το Ιράν είναι αναγκασμένο να χτυπήσει το Ισραήλ,News & Politics,3.5,Greece,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,,1.5,1.5,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,2.0
12,Ireland,Fed up homeowner confronts car thief in his driveway,News & Politics,0.0,Ireland,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
