,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,United Arab Emirates,Dubai airport diverts arrival flights amid heavy rain and floods,News & Politics,100.0,United Arab Emirates,,67.3,,,68.7,71.0,71.2,72.2,66.2,65.4,65.7,68.3,70.4,66.0,67.1,64.6,67.3,65.7
6,Denmark,Fed up homeowner confronts car thief in his driveway,News & Politics,0.0,Denmark,80.2,,78.3,79.7,76.8,77.7,77.9,75.2,75.9,75.1,75.1,75.6,75.9,76.5,76.9,75.2,77.0,75.9
7,Austria,Krieg in Hamburgs Drogen-Milieu: Die weltweite Jagd nach dem Koks-Paten | SPIEGEL TV,News & Politics,50.0,Austria,,71.2,,71.8,,73.0,74.7,74.0,75.0,69.5,70.8,70.5,72.9,74.0,72.0,72.1,70.8,71.0
8,Switzerland,Fed up homeowner confronts car thief in his driveway,News & Politics,0.0,Switzerland,,74.7,,,75.3,,,77.8,,74.9,75.7,74.6,74.7,75.1,76.9,75.1,73.3,72.4
9,Germany,Krieg in Hamburgs Drogen-Milieu: Die weltweite Jagd nach dem Koks-Paten | SPIEGEL TV,News & Politics,50.0,Germany,66.2,,64.2,65.2,66.4,67.3,66.2,67.0,69.7,69.8,70.4,68.7,70.7,71.2,70.3,73.1,67.5,68.9
11,Greece,Φίλης: Πόλεμος Ιράν - Ισραήλ οδηγεί ξεκάθαρα σε Τρίτο Παγκόσμιο,News & Politics,50.0,Greece,60.1,,66.5,,60.4,58.4,53.7,51.0,47.2,47.6,56.2,53.0,51.5,54.1,59.5,57.9,61.0,59.3
12,Greece,Μάζης: Το Ιράν είναι αναγκασμένο να χτυπήσει το Ισραήλ,News & Politics,50.0,Greece,60.1,,66.5,,60.4,58.4,53.7,51.0,47.2,47.6,56.2,53.0,51.5,54.1,59.5,57.9,61.0,59.3
13,Ireland,Fed up homeowner confronts car thief in his driveway,News & Politics,0.0,Ireland,,71.4,,75.7,70.5,72.6,70.1,69.7,67.6,70.2,68.3,70.4,70.6,69.6,72.5,70.3,68.3,69.1
14,New Zealand,Fed up homeowner confronts car thief in his driveway,News & Politics,0.0,New Zealand,,73.0,76.0,73.8,,72.2,71.9,72.5,72.8,73.1,74.2,72.3,73.3,73.7,72.0,72.6,71.4,71.2
15,El Salvador,INTENTÓ QUITARLE el ARMA a un POLICÍA,News & Politics,50.0,El Salvador,,57.0,53.0,51.9,68.4,67.4,47.4,59.3,63.3,58.6,60.2,61.4,63.4,62.4,64.5,54.6,64.3,61.2
16,Finland,Fed up homeowner confronts car thief in his driveway,News & Politics,0.0,Finland,,76.7,,76.7,,73.9,73.5,74.2,74.5,73.8,74.5,76.6,77.9,78.6,77.8,78.9,77.9,78.0
17,Senegal,Arrivée du Président Bassirou Diomaye Faye à Touba,News & Politics,50.0,Senegal,,44.2,46.8,46.8,43.4,43.7,38.3,36.7,36.5,44.0,46.2,46.0,46.8,47.7,54.9,47.6,49.0,48.5
18,Croatia,Intervju sa Zoranom Milanovićem uoči izbora,News & Politics,0.0,Croatia,,,58.2,,54.3,56.0,53.9,60.3,58.9,53.8,52.0,54.2,53.4,55.4,56.3,65.1,62.9,61.3
19,Hungary,"Magyar Péter a Megbeszéljükben | Nem vagyok Messiás, legfeljebb egy jókor jött szikra lehetek",News & Politics,0.0,Hungary,51.9,,49.5,,49.0,47.3,49.2,46.8,49.1,51.8,53.4,54.5,60.6,59.4,60.0,60.4,62.3,60.4
20,Kazakhstan,Суд над Бишимбаевым: прямая трансляция из зала суда. 15 апреля 2024 года,News & Politics,50.0,Kazakhstan,,54.8,57.2,58.9,53.8,55.1,57.4,57.6,58.4,59.7,59.5,55.3,58.8,60.1,62.7,61.7,62.6,61.4
21,Kazakhstan,Суд над Бишимбаевым: прямая трансляция из зала суда. 17 апреля 2024 года,News & Politics,50.0,Kazakhstan,,54.8,57.2,58.9,53.8,55.1,57.4,57.6,58.4,59.7,59.5,55.3,58.8,60.1,62.7,61.7,62.6,61.4
