,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Bahrain,اختي ميمي اختفت فجأه | وين راحت وايش صار ؟!!,People & Blogs,0.0,Bahrain,5.5,5.5,4.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
1,Bahrain,ملف الفرقة السري 😳🔥 (بداية عداوة شبيب 😡),People & Blogs,3.5,Bahrain,5.5,5.5,4.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
2,Bahrain,كيلر تشاندلر قرر يداهم مستري تاون 😡🔥 (شبيب خاين 😨),People & Blogs,3.5,Bahrain,5.5,5.5,4.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
3,Egypt,بعد غياب طويل اول ظهور لينا عملت في احمد مقلب الطلق والولاده 🥹🤰🤰,People & Blogs,3.5,Egypt,6.0,6.0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,,5.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,5.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0
4,Egypt,رد فعلي ع خبر حملي😭🤰🏼♥️روحت ع بيت اهلي 🏃🏼‍♀️,People & Blogs,3.5,Egypt,6.0,6.0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,,5.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,5.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0
5,Egypt,انا حامل بتوأم👶👶 ردفعل اخواتي 😂,People & Blogs,0.0,Egypt,6.0,6.0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,,5.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,5.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0
6,Iraq,طلعت الحقائق🤪 امي تجاوب على اسألتي المفاجئة 🫣حضرت حلويات للسهرة مع اهلي,People & Blogs,3.5,Iraq,7.0,7.0,7.0,7.0,7.0,7.0,6.5,7.0,6.5,6.5,,6.5,7.0,7.0,7.0,7.0,7.0,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.5,6.0,6.0,6.0,5.5,5.5,5.5,6.0,5.5,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
7,Jordan,كافح يسعى لتحقيق أمن الدولة 👮‍♂🔥! ( إعدام احد مجرمين ريسبكت ),People & Blogs,3.5,Jordan,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,5.0,5.0,5.0,5.0,5.5,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,5.0,5.5,5.0,4.5,4.5,4.5,4.5,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.0,5.0,5.0,5.5,5.5,5.5
8,Jordan,انا حامل بتوأم👶👶 ردفعل اخواتي 😂,People & Blogs,0.0,Jordan,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,5.0,5.0,5.0,5.0,5.5,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,5.0,5.5,5.0,4.5,4.5,4.5,4.5,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.0,5.0,5.0,5.5,5.5,5.5
9,Kuwait,كافح يسعى لتحقيق أمن الدولة 👮‍♂🔥! ( إعدام احد مجرمين ريسبكت ),People & Blogs,3.5,Kuwait,4.0,3.5,3.5,3.5,5.5,5.0,5.0,5.0,5.0,4.0,,4.0,4.0,4.0,5.5,5.5,5.5,5.0,7.0,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.0,4.0,4.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
