,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Bahrain,اختي ميمي اختفت فجأه | وين راحت وايش صار ؟!!,People & Blogs,0.0,Bahrain,,,,,57.0,59.4,48.2,50.3,66.9,61.6,60.1,61.7,62.3,,71.0,61.7,,61.7
1,Bahrain,ملف الفرقة السري 😳🔥 (بداية عداوة شبيب 😡),People & Blogs,50.0,Bahrain,,,,,57.0,59.4,48.2,50.3,66.9,61.6,60.1,61.7,62.3,,71.0,61.7,,61.7
2,Bahrain,كيلر تشاندلر قرر يداهم مستري تاون 😡🔥 (شبيب خاين 😨),People & Blogs,50.0,Bahrain,,,,,57.0,59.4,48.2,50.3,66.9,61.6,60.1,61.7,62.3,,71.0,61.7,,61.7
3,Egypt,بعد غياب طويل اول ظهور لينا عملت في احمد مقلب الطلق والولاده 🥹🤰🤰,People & Blogs,50.0,Egypt,51.7,,55.4,46.3,50.7,46.7,41.7,42.0,35.6,48.9,47.6,45.6,39.3,40.0,43.3,44.7,40.3,41.7
4,Egypt,رد فعلي ع خبر حملي😭🤰🏼♥️روحت ع بيت اهلي 🏃🏼‍♀️,People & Blogs,50.0,Egypt,51.7,,55.4,46.3,50.7,46.7,41.7,42.0,35.6,48.9,47.6,45.6,39.3,40.0,43.3,44.7,40.3,41.7
5,Egypt,انا حامل بتوأم👶👶 ردفعل اخواتي 😂,People & Blogs,0.0,Egypt,51.7,,55.4,46.3,50.7,46.7,41.7,42.0,35.6,48.9,47.6,45.6,39.3,40.0,43.3,44.7,40.3,41.7
6,Iraq,طلعت الحقائق🤪 امي تجاوب على اسألتي المفاجئة 🫣حضرت حلويات للسهرة مع اهلي,People & Blogs,50.0,Iraq,,,,45.9,47.8,50.6,47.3,46.6,47.3,45.4,44.9,44.1,44.6,48.9,,47.9,50.9,49.4
7,Jordan,كافح يسعى لتحقيق أمن الدولة 👮‍♂🔥! ( إعدام احد مجرمين ريسبكت ),People & Blogs,50.0,Jordan,63.0,,56.0,49.3,60.0,55.7,55.4,51.3,51.7,53.3,54.0,52.7,48.1,46.4,44.5,40.9,39.1,41.2
8,Jordan,انا حامل بتوأم👶👶 ردفعل اخواتي 😂,People & Blogs,0.0,Jordan,63.0,,56.0,49.3,60.0,55.7,55.4,51.3,51.7,53.3,54.0,52.7,48.1,46.4,44.5,40.9,39.1,41.2
11,Lebanon,كافح يسعى لتحقيق أمن الدولة 👮‍♂🔥! ( إعدام احد مجرمين ريسبكت ),People & Blogs,50.0,Lebanon,54.9,46.5,,46.0,52.1,50.3,51.9,45.7,49.8,52.3,51.7,52.7,51.5,51.7,40.2,26.3,21.8,23.9
13,Morocco,#مربوحةtv اكرام جات وعلى باباها شحال بكات😭😭 اقالت علاش ربيعة غيبات  🤔,People & Blogs,100.0,Morocco,,,,,,43.8,50.9,49.7,51.4,,51.6,53.9,53.1,49.0,50.6,48.0,53.3,49.0
14,Morocco,داكشي كارثي لي لقاو عند حميد فالعملية 😥 العائلة كلها تجمعات وكلشي تيبكي 😭,People & Blogs,100.0,Morocco,,,,,,43.8,50.9,49.7,51.4,,51.6,53.9,53.1,49.0,50.6,48.0,53.3,49.0
