,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Bosnia and Herzegovina,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,3.5,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.5,4.5,4.0,4.0,3.5,3.5,3.0,3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1,El Salvador,Don't Waste!🚫 Turn Ham Into Delicious Food😊🍔 #funnycat #catmemes #trending,Pets & Animals,7.0,El Salvador,2.5,2.5,2.5,2.5,3.0,4.0,5.0,4.5,5.0,4.5,,4.5,4.0,3.0,3.5,3.5,3.0,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.5,3.5
2,Croatia,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,3.5,Croatia,,,,,,,,,,,,,,,,,,,,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0
3,Georgia,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,3.5,Georgia,,,,,,,,,,,,,,,,,,,,5.5,4.5,5.0,5.0,4.5,4.0,3.5,3.5,3.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0,4.0,4.0,4.0,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5
4,Lithuania,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,3.5,Lithuania,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5
5,North Macedonia,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,3.5,North Macedonia,,,,,,,,,,,,,,,,,,,,,3.5,3.0,3.5,3.5,3.5,3.5,3.0,3.0,3.5,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.0
6,Malaysia,Don't Waste!🚫 Turn Ham Into Delicious Food😊🍔 #funnycat #catmemes #trending,Pets & Animals,7.0,Malaysia,2.5,2.5,3.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,3.5,4.0,4.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
7,Malaysia,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,3.5,Malaysia,2.5,2.5,3.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,3.5,4.0,4.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
8,Serbia,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,3.5,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,3.0,3.5,3.5,3.5,3.5
9,Vietnam,Don't Waste!🚫 Turn Ham Into Delicious Food😊🍔 #funnycat #catmemes #trending,Pets & Animals,7.0,Vietnam,5.8,5.8,5.8,7.0,7.0,7.0,7.0,7.0,7.0,6.5,,6.5,6.5,7.0,7.0,6.5,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.5,6.5,6.5,6.5,6.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5
10,Taiwan,貓乘機車進得來速討摸太可愛♥｜#寵物雲 #shorts,Pets & Animals,3.5,Taiwan,5.5,5.5,5.5,5.5,5.0,4.5,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,4.5,4.0,3.5,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.5,1.5,2.0,2.0,1.5,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,Cambodia,Don't Waste!🚫 Turn Ham Into Delicious Food😊🍔 #funnycat #catmemes #trending,Pets & Animals,7.0,Cambodia,5.5,5.5,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,4.5,4.5,6.0,6.0,6.5,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0
12,Cambodia,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,3.5,Cambodia,5.5,5.5,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,4.5,4.5,6.0,6.0,6.5,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0
