,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Bosnia and Herzegovina,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,50.0,Bosnia and Herzegovina,,,49.0,,49.6,46.7,50.0,47.7,51.2,52.5,51.2,51.8,50.9,58.9,60.2,55.2,57.5,56.3
1,El Salvador,Don't Waste!🚫 Turn Ham Into Delicious Food😊🍔 #funnycat #catmemes #trending,Pets & Animals,100.0,El Salvador,,57.0,53.0,51.9,68.4,67.4,47.4,59.3,63.3,58.6,60.2,61.4,63.4,62.4,64.5,54.6,64.3,61.2
2,Croatia,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,50.0,Croatia,,,58.2,,54.3,56.0,53.9,60.3,58.9,53.8,52.0,54.2,53.4,55.4,56.3,65.1,62.9,61.3
3,Georgia,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,50.0,Georgia,,36.8,37.1,41.6,38.0,41.0,42.0,42.5,43.5,42.9,41.2,44.5,44.5,46.6,48.9,51.2,49.1,51.1
4,Lithuania,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,50.0,Lithuania,,59.5,58.1,55.5,54.7,50.7,54.3,57.7,56.0,61.3,57.1,58.7,62.7,63.1,60.6,63.9,68.7,67.6
5,North Macedonia,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,50.0,North Macedonia,,,44.9,,44.3,41.8,49.0,46.4,51.9,52.0,49.8,53.5,52.3,52.4,50.1,50.5,55.4,52.5
6,Malaysia,Don't Waste!🚫 Turn Ham Into Delicious Food😊🍔 #funnycat #catmemes #trending,Pets & Animals,100.0,Malaysia,,60.1,62.4,58.1,53.9,55.8,57.9,59.1,57.7,59.6,63.2,,,53.4,54.3,60.1,60.1,60.1
7,Malaysia,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,50.0,Malaysia,,60.1,62.4,58.1,53.9,55.8,57.9,59.1,57.7,59.6,63.2,,,53.4,54.3,60.1,60.1,60.1
8,Serbia,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,50.0,Serbia,,,47.5,,43.8,44.6,48.1,51.5,51.0,51.1,53.2,57.5,51.2,59.4,62.4,60.4,62.5,61.4
9,Vietnam,Don't Waste!🚫 Turn Ham Into Delicious Food😊🍔 #funnycat #catmemes #trending,Pets & Animals,100.0,Vietnam,,52.9,54.2,54.8,53.0,53.0,57.7,55.4,50.2,50.9,50.8,50.6,51.8,53.0,54.7,54.6,55.4,57.6
10,Taiwan,貓乘機車進得來速討摸太可愛♥｜#寵物雲 #shorts,Pets & Animals,50.0,Taiwan,,61.9,,55.5,,62.3,63.1,61.3,63.4,63.6,64.5,65.1,63.6,64.7,65.4,67.5,62.5,65.3
11,Cambodia,Don't Waste!🚫 Turn Ham Into Delicious Food😊🍔 #funnycat #catmemes #trending,Pets & Animals,100.0,Cambodia,,35.7,41.6,44.6,41.1,41.4,41.6,39.0,36.7,38.8,41.6,44.6,45.9,51.2,50.0,43.8,45.5,43.9
12,Cambodia,🤓Let's Use Genius Hacks To Beat Exams!📚💡 #funnycat #catmemes #trending,Pets & Animals,50.0,Cambodia,,35.7,41.6,44.6,41.1,41.4,41.6,39.0,36.7,38.8,41.6,44.6,45.9,51.2,50.0,43.8,45.5,43.9
