,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Bahrain,ملخص مباراة برشلونة وباريس سان جيرمان (1-4) | إياب الدور ربع النهائي - دوري أبطال أوروبا,Sports,3.5,Bahrain,5.5,5.5,4.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
1,Bahrain,ملخص مباراة بوروسيا دورتموند وأتلتيكو مدريد (4-2) | إياب الدور ربع النهائي - دوري أبطال أوروبا,Sports,3.5,Bahrain,5.5,5.5,4.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
2,Bahrain,مباراة | الزمالك 2-1 الأهلي | الجولة العاشرة | الدوري المصري 2023/2024,Sports,3.5,Bahrain,5.5,5.5,4.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
3,Algeria,ملخص مباراة برشلونة وباريس سان جيرمان (1-4) | إياب الدور ربع النهائي - دوري أبطال أوروبا,Sports,3.5,Algeria,6.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,5.5,5.0,4.0,4.0,6.5,6.5,7.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
4,Algeria,ملخص مباراة بوروسيا دورتموند وأتلتيكو مدريد (4-2) | إياب الدور ربع النهائي - دوري أبطال أوروبا,Sports,3.5,Algeria,6.0,6.0,6.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,5.5,5.0,4.0,4.0,6.5,6.5,7.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
5,Egypt,مباراة | الزمالك 2-1 الأهلي | الجولة العاشرة | الدوري المصري 2023/2024,Sports,3.5,Egypt,6.0,6.0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,,5.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,5.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0
6,Egypt,ملخص مباراة برشلونة وباريس سان جيرمان (1-4) | إياب الدور ربع النهائي - دوري أبطال أوروبا,Sports,3.5,Egypt,6.0,6.0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,,5.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,5.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0
7,Egypt,اللعيب | سيد عبد الحفيظ عن إخفاء الكرات: إبراهيم نور الدين هو المقصر والسبب في المشكلة,Sports,3.5,Egypt,6.0,6.0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,,5.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,5.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0
8,Egypt,بالأســماء ✨ بلس 90 يكشف الراحلين عن النادي الأهلي وخبر مفـ😮ـاجئ علي الهواء عن صفقة النادي الجديدة 🔥,Sports,3.5,Egypt,6.0,6.0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,,5.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,5.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0
9,Egypt,فضيحة برشلونة في دوري الأبطال !!!,Sports,7.0,Egypt,6.0,6.0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,,5.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,5.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0
