,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,United Arab Emirates,ملخص مباراة برشلونة وباريس سان جيرمان (1-4) | إياب الدور ربع النهائي - دوري أبطال أوروبا,Sports,50.0,United Arab Emirates,,67.3,,,68.7,71.0,71.2,72.2,66.2,65.4,65.7,68.3,70.4,66.0,67.1,64.6,67.3,65.7
1,United Arab Emirates,مباراة | الزمالك 2-1 الأهلي | الجولة العاشرة | الدوري المصري 2023/2024,Sports,50.0,United Arab Emirates,,67.3,,,68.7,71.0,71.2,72.2,66.2,65.4,65.7,68.3,70.4,66.0,67.1,64.6,67.3,65.7
2,United Arab Emirates,اللعيب | سيد عبد الحفيظ عن إخفاء الكرات: إبراهيم نور الدين هو المقصر والسبب في المشكلة,Sports,50.0,United Arab Emirates,,67.3,,,68.7,71.0,71.2,72.2,66.2,65.4,65.7,68.3,70.4,66.0,67.1,64.6,67.3,65.7
3,United Arab Emirates,ملخص مباراة بوروسيا دورتموند وأتلتيكو مدريد (4-2) | إياب الدور ربع النهائي - دوري أبطال أوروبا,Sports,50.0,United Arab Emirates,,67.3,,,68.7,71.0,71.2,72.2,66.2,65.4,65.7,68.3,70.4,66.0,67.1,64.6,67.3,65.7
4,United Arab Emirates,Chelsea 6-0 Everton | Palmer breaks Chelsea record! | HIGHLIGHTS | PL 23/24,Sports,0.0,United Arab Emirates,,67.3,,,68.7,71.0,71.2,72.2,66.2,65.4,65.7,68.3,70.4,66.0,67.1,64.6,67.3,65.7
5,Bahrain,ملخص مباراة برشلونة وباريس سان جيرمان (1-4) | إياب الدور ربع النهائي - دوري أبطال أوروبا,Sports,50.0,Bahrain,,,,,57.0,59.4,48.2,50.3,66.9,61.6,60.1,61.7,62.3,,71.0,61.7,,61.7
6,Bahrain,ملخص مباراة بوروسيا دورتموند وأتلتيكو مدريد (4-2) | إياب الدور ربع النهائي - دوري أبطال أوروبا,Sports,50.0,Bahrain,,,,,57.0,59.4,48.2,50.3,66.9,61.6,60.1,61.7,62.3,,71.0,61.7,,61.7
7,Bahrain,مباراة | الزمالك 2-1 الأهلي | الجولة العاشرة | الدوري المصري 2023/2024,Sports,50.0,Bahrain,,,,,57.0,59.4,48.2,50.3,66.9,61.6,60.1,61.7,62.3,,71.0,61.7,,61.7
8,Algeria,ملخص مباراة برشلونة وباريس سان جيرمان (1-4) | إياب الدور ربع النهائي - دوري أبطال أوروبا,Sports,50.0,Algeria,,,,,,54.6,53.2,56.0,,63.5,,53.4,52.5,50.4,47.5,54.4,52.2,53.3
9,Algeria,ملخص مباراة بوروسيا دورتموند وأتلتيكو مدريد (4-2) | إياب الدور ربع النهائي - دوري أبطال أوروبا,Sports,50.0,Algeria,,,,,,54.6,53.2,56.0,,63.5,,53.4,52.5,50.4,47.5,54.4,52.2,53.3
